Comunidades y Ciudades Autónomas;Periodo;Total
08 Castilla - La Mancha;2004;114,62
08 Castilla - La Mancha;2003;115,7
08 Castilla - La Mancha;2002;115,04
08 Castilla - La Mancha;2001;113,01
08 Castilla - La Mancha;2000;110,07
08 Castilla - La Mancha;1999;107,28
08 Castilla - La Mancha;1998;103,47
08 Castilla - La Mancha;1997;99,54
08 Castilla - La Mancha;1996;95,75
08 Castilla - La Mancha;1995;91,67
08 Castilla - La Mancha;1994;87,72
08 Castilla - La Mancha;1993;84,24
08 Castilla - La Mancha;1992;80,79
08 Castilla - La Mancha;1991;77,36
08 Castilla - La Mancha;1990;74,02
08 Castilla - La Mancha;1989;70,96
08 Castilla - La Mancha;1988;67,72
08 Castilla - La Mancha;1987;64,68
08 Castilla - La Mancha;1986;61,96
08 Castilla - La Mancha;1985;59,79
08 Castilla - La Mancha;1984;58,38
08 Castilla - La Mancha;1983;56,77
08 Castilla - La Mancha;1982;55,02
08 Castilla - La Mancha;1981;53,46
08 Castilla - La Mancha;1980;51,61
08 Castilla - La Mancha;1979;49,88
08 Castilla - La Mancha;1978;48,31
08 Castilla - La Mancha;1977;46,61
08 Castilla - La Mancha;1976;44,96
08 Castilla - La Mancha;1975;43,32
09 Cataluña;2025;136,89
09 Cataluña;2024;131,55
09 Cataluña;2023;126,98
09 Cataluña;2022;124,03
09 Cataluña;2021;120,26
09 Cataluña;2020;117,67
09 Cataluña;2019;115,42
09 Cataluña;2018;113,59
09 Cataluña;2017;111,96
09 Cataluña;2016;110,2
09 Cataluña;2015;108,74
09 Cataluña;2014;106,75
09 Cataluña;2013;103,89
09 Cataluña;2012;102,41
09 Cataluña;2011;101,87
09 Cataluña;2010;101,36
09 Cataluña;2009;101,34
09 Cataluña;2008;102,63
09 Cataluña;2007;105,06
09 Cataluña;2006;107,39
09 Cataluña;2005;108,63
09 Cataluña;2004;112,29
09 Cataluña;2003;115,85
09 Cataluña;2002;117,6
09 Cataluña;2001;116,09
09 Cataluña;2000;113,92
09 Cataluña;1999;111,18
09 Cataluña;1998;107,07
09 Cataluña;1997;102,55
09 Cataluña;1996;97,52
09 Cataluña;1995;92,12
09 Cataluña;1994;86,76
09 Cataluña;1993;81,68
09 Cataluña;1992;76,94
09 Cataluña;1991;72,12
09 Cataluña;1990;67,25
09 Cataluña;1989;62,89
09 Cataluña;1988;58,99
09 Cataluña;1987;55,3
09 Cataluña;1986;52,13
09 Cataluña;1985;49,62
09 Cataluña;1984;47,46
09 Cataluña;1983;45,31
09 Cataluña;1982;43,26
09 Cataluña;1981;41,55
09 Cataluña;1980;40,09
09 Cataluña;1979;38,81
09 Cataluña;1978;37,98
09 Cataluña;1977;37,36
09 Cataluña;1976;36,99
09 Cataluña;1975;36,61
10 Comunitat Valenciana;2025;142,92
10 Comunitat Valenciana;2024;138,36
10 Comunitat Valenciana;2023;135,1
10 Comunitat Valenciana;2022;133,07
10 Comunitat Valenciana;2021;128,64
10 Comunitat Valenciana;2020;124,72
10 Comunitat Valenciana;2019;122,11
10 Comunitat Valenciana;2018;119,79
10 Comunitat Valenciana;2017;117,59
10 Comunitat Valenciana;2016;115,3
10 Comunitat Valenciana;2015;113,63
10 Comunitat Valenciana;2014;111,64
10 Comunitat Valenciana;2013;108,65
10 Comunitat Valenciana;2012;106,46
10 Comunitat Valenciana;2011;104,75
10 Comunitat Valenciana;2010;103,03
10 Comunitat Valenciana;2009;101,34
10 Comunitat Valenciana;2008;100,82
10 Comunitat Valenciana;2007;101,66
10 Comunitat Valenciana;2006;102,73
10 Comunitat Valenciana;2005;101,59
10 Comunitat Valenciana;2004;103,02
10 Comunitat Valenciana;2003;103,94
10 Comunitat Valenciana;2002;103,99
10 Comunitat Valenciana;2001;101,76
10 Comunitat Valenciana;2000;98,86
10 Comunitat Valenciana;1999;95,84
10 Comunitat Valenciana;1998;91,6
10 Comunitat Valenciana;1997;87,39
10 Comunitat Valenciana;1996;82,99
10 Comunitat Valenciana;1995;78,12
10 Comunitat Valenciana;1994;73,75
10 Comunitat Valenciana;1993;69,66
10 Comunitat Valenciana;1992;66,07
10 Comunitat Valenciana;1991;62,39
10 Comunitat Valenciana;1990;58,66
10 Comunitat Valenciana;1989;55,39
10 Comunitat Valenciana;1988;52,44
10 Comunitat Valenciana;1987;49,45
10 Comunitat Valenciana;1986;46,97
10 Comunitat Valenciana;1985;45
10 Comunitat Valenciana;1984;43,52
10 Comunitat Valenciana;1983;42,23
10 Comunitat Valenciana;1982;41,11
10 Comunitat Valenciana;1981;40,26
10 Comunitat Valenciana;1980;39,18
10 Comunitat Valenciana;1979;38,4
10 Comunitat Valenciana;1978;37,97
10 Comunitat Valenciana;1977;37,55
10 Comunitat Valenciana;1976;37,44
10 Comunitat Valenciana;1975;37,08
11 Extremadura;2025;172,64
11 Extremadura;2024;164,85
11 Extremadura;2023;158,13
11 Extremadura;2022;153,2
11 Extremadura;2021;148,5
11 Extremadura;2020;145,26
11 Extremadura;2019;141,76
11 Extremadura;2018;138,22
11 Extremadura;2017;135,45
11 Extremadura;2016;132,55
11 Extremadura;2015;130,65
11 Extremadura;2014;128,34
11 Extremadura;2013;125,53
11 Extremadura;2012;123,97
11 Extremadura;2011;122,95
11 Extremadura;2010;121,44
11 Extremadura;2009;119,72
11 Extremadura;2008;117,78
11 Extremadura;2007;116,85
11 Extremadura;2006;116,13
11 Extremadura;2005;113,58
11 Extremadura;2004;112,04
11 Extremadura;2003;110,9
11 Extremadura;2002;108,4
11 Extremadura;2001;104,63
11 Extremadura;2000;100,47
11 Extremadura;1999;96,82
11 Extremadura;1998;92,47
11 Extremadura;1997;88,2
11 Extremadura;1996;84,13
11 Extremadura;1995;80,58
11 Extremadura;1994;77,11
11 Extremadura;1993;74,03
11 Extremadura;1992;71,1
11 Extremadura;1991;68,18
11 Extremadura;1990;65,49
11 Extremadura;1989;62,98
11 Extremadura;1988;60,6
11 Extremadura;1987;58,52
11 Extremadura;1986;56,52
11 Extremadura;1985;54,93
11 Extremadura;1984;53,73
11 Extremadura;1983;52,74
11 Extremadura;1982;51,55
11 Extremadura;1981;50,58
11 Extremadura;1980;49,28
11 Extremadura;1979;47,88
11 Extremadura;1978;46,46
11 Extremadura;1977;44,81
11 Extremadura;1976;43
11 Extremadura;1975;41,08
12 Galicia;2025;231,61
12 Galicia;2024;224,33
12 Galicia;2023;218,09
12 Galicia;2022;213,77
12 Galicia;2021;207,67
12 Galicia;2020;202,65
12 Galicia;2019;198,63
12 Galicia;2018;195,64
12 Galicia;2017;192,93
12 Galicia;2016;190,72
12 Galicia;2015;188,32
12 Galicia;2014;185,48
12 Galicia;2013;182,65
12 Galicia;2012;181,6
12 Galicia;2011;180,17
12 Galicia;2010;178,46
12 Galicia;2009;176,94
12 Galicia;2008;175,81
12 Galicia;2007;175,4
12 Galicia;2006;174,2
12 Galicia;2005;171,37
12 Galicia;2004;170
12 Galicia;2003;168,22
12 Galicia;2002;164,25
12 Galicia;2001;157,1
12 Galicia;2000;149,26
12 Galicia;1999;141,06
12 Galicia;1998;132,39
12 Galicia;1997;123,53
12 Galicia;1996;115,61
12 Galicia;1995;107,81
12 Galicia;1994;100,51
12 Galicia;1993;93,98
12 Galicia;1992;88,04
12 Galicia;1991;82,82
12 Galicia;1990;78,34
12 Galicia;1989;74,32
12 Galicia;1988;70,5
12 Galicia;1987;66,93
12 Galicia;1986;64,27
12 Galicia;1985;61,47
12 Galicia;1984;59,41
12 Galicia;1983;57,25
12 Galicia;1982;55,42
12 Galicia;1981;53,83
12 Galicia;1980;52,54
12 Galicia;1979;51,49
12 Galicia;1978;50,74
12 Galicia;1977;49,65
12 Galicia;1976;48,61
12 Galicia;1975;47,37
13 Madrid, Comunidad de;2025;131,42
13 Madrid, Comunidad de;2024;126,24
13 Madrid, Comunidad de;2023;121,65
13 Madrid, Comunidad de;2022;118,33
13 Madrid, Comunidad de;2021;114,11
13 Madrid, Comunidad de;2020;111,48
13 Madrid, Comunidad de;2019;108,79
13 Madrid, Comunidad de;2018;106,36
13 Madrid, Comunidad de;2017;104,2
13 Madrid, Comunidad de;2016;102,38
13 Madrid, Comunidad de;2015;100,81
13 Madrid, Comunidad de;2014;98,71
13 Madrid, Comunidad de;2013;95,59
13 Madrid, Comunidad de;2012;93,57
13 Madrid, Comunidad de;2011;92,36
13 Madrid, Comunidad de;2010;90,73
13 Madrid, Comunidad de;2009;89,69
13 Madrid, Comunidad de;2008;89,48
13 Madrid, Comunidad de;2007;90,32
13 Madrid, Comunidad de;2006;91,34
13 Madrid, Comunidad de;2005;90,32
13 Madrid, Comunidad de;2004;91,57
13 Madrid, Comunidad de;2003;93,16
13 Madrid, Comunidad de;2002;94,61
13 Madrid, Comunidad de;2001;93,35
13 Madrid, Comunidad de;2000;91,22
13 Madrid, Comunidad de;1999;88,45
13 Madrid, Comunidad de;1998;84,67
13 Madrid, Comunidad de;1997;80,52
13 Madrid, Comunidad de;1996;76,46
