Comunidad autónoma;Periodo;Total
13 Madrid, Comunidad de;2005;13,7
13 Madrid, Comunidad de;2004;17
14 Murcia, Región de;2024;8,9
14 Murcia, Región de;2023;5,9
14 Murcia, Región de;2022;4,5
14 Murcia, Región de;2021;4,1
14 Murcia, Región de;2020;10,3
14 Murcia, Región de;2019;4,3
14 Murcia, Región de;2018;7,9
14 Murcia, Región de;2017;3,5
14 Murcia, Región de;2016;4,1
14 Murcia, Región de;2015;4,7
14 Murcia, Región de;2014;3,4
14 Murcia, Región de;2013;6,3
14 Murcia, Región de;2012;5,9
14 Murcia, Región de;2011;9,1
14 Murcia, Región de;2010;4
14 Murcia, Región de;2009;7,1
14 Murcia, Región de;2008;7,5
14 Murcia, Región de;2007;9
14 Murcia, Región de;2006;11,5
14 Murcia, Región de;2005;9,3
14 Murcia, Región de;2004;16,2
15 Navarra, Comunidad Foral de;2024;7,6
15 Navarra, Comunidad Foral de;2023;8,1
15 Navarra, Comunidad Foral de;2022;6,7
15 Navarra, Comunidad Foral de;2021;5,1
15 Navarra, Comunidad Foral de;2020;6,6
15 Navarra, Comunidad Foral de;2019;2,7
15 Navarra, Comunidad Foral de;2018;2
15 Navarra, Comunidad Foral de;2017;0
15 Navarra, Comunidad Foral de;2016;1,9
15 Navarra, Comunidad Foral de;2015;1,1
15 Navarra, Comunidad Foral de;2014;2,7
15 Navarra, Comunidad Foral de;2013;2,8
15 Navarra, Comunidad Foral de;2012;1,8
15 Navarra, Comunidad Foral de;2011;3,4
15 Navarra, Comunidad Foral de;2010;0,9
15 Navarra, Comunidad Foral de;2009;1,3
15 Navarra, Comunidad Foral de;2008;2,5
15 Navarra, Comunidad Foral de;2007;3,2
15 Navarra, Comunidad Foral de;2006;4
15 Navarra, Comunidad Foral de;2005;2,7
15 Navarra, Comunidad Foral de;2004;9,8
16 País Vasco;2024;5,8
16 País Vasco;2023;5,2
16 País Vasco;2022;3
16 País Vasco;2021;3,7
16 País Vasco;2020;5,1
16 País Vasco;2019;2,4
16 País Vasco;2018;3,1
16 País Vasco;2017;0,7
16 País Vasco;2016;1,6
16 País Vasco;2015;0,4
16 País Vasco;2014;1
16 País Vasco;2013;1,4
16 País Vasco;2012;0,8
16 País Vasco;2011;3
16 País Vasco;2010;3
16 País Vasco;2009;2,4
16 País Vasco;2008;2,9
16 País Vasco;2007;4,4
16 País Vasco;2006;3,4
16 País Vasco;2005;5,2
16 País Vasco;2004;16,1
17 Rioja, La;2024;4,9
17 Rioja, La;2023;5,7
17 Rioja, La;2022;5
17 Rioja, La;2021;3,7
17 Rioja, La;2020;2,6
17 Rioja, La;2019;2,1
17 Rioja, La;2018;0
17 Rioja, La;2017;0,1
17 Rioja, La;2016;0,6
17 Rioja, La;2015;1
17 Rioja, La;2014;1,4
17 Rioja, La;2013;0,5
17 Rioja, La;2012;2,4
17 Rioja, La;2011;5,1
17 Rioja, La;2010;7,1
17 Rioja, La;2009;5,9
17 Rioja, La;2008;3,3
17 Rioja, La;2007;1,7
17 Rioja, La;2006;6,6
17 Rioja, La;2005;4,1
17 Rioja, La;2004;15
18 Ceuta;2024;28,3
18 Ceuta;2023;17,6
18 Ceuta;2022;16,9
18 Ceuta;2021;7
18 Ceuta;2020;17,8
18 Ceuta;2019;21,2
18 Ceuta;2018;20,8
18 Ceuta;2017;17,9
18 Ceuta;2016;24,3
18 Ceuta;2015;25,1
18 Ceuta;2014;29
18 Ceuta;2013;33
18 Ceuta;2012;32,8
18 Ceuta;2011;33,9
18 Ceuta;2010;19,4
18 Ceuta;2009;21,6
18 Ceuta;2008;26,6
18 Ceuta;2007;40,9
18 Ceuta;2006;37,2
18 Ceuta;2005;50,8
18 Ceuta;2004;34,8
19 Melilla;2024;22,7
19 Melilla;2023;14
19 Melilla;2022;18,6
19 Melilla;2021;15,8
19 Melilla;2020;28,7
19 Melilla;2019;20,7
19 Melilla;2018;17,9
19 Melilla;2017;21,4
19 Melilla;2016;18,9
19 Melilla;2015;16,1
19 Melilla;2014;12,8
19 Melilla;2013;16,4
19 Melilla;2012;8
19 Melilla;2011;27,1
19 Melilla;2010;18,6
19 Melilla;2009;14,9
19 Melilla;2008;15
19 Melilla;2007;21,9
19 Melilla;2006;19,6
19 Melilla;2005;27,5
19 Melilla;2004;41
