Comunidad autónoma;Periodo;Total
06 Cantabria;2018;7,1
06 Cantabria;2017;2,3
06 Cantabria;2016;5,9
06 Cantabria;2015;6,3
06 Cantabria;2014;8,2
06 Cantabria;2013;7,8
06 Cantabria;2012;3,2
06 Cantabria;2011;9
06 Cantabria;2010;3,4
06 Cantabria;2009;4,5
06 Cantabria;2008;3,6
06 Cantabria;2007;3,8
06 Cantabria;2006;2,7
06 Cantabria;2005;3,1
06 Cantabria;2004;2,2
07 Castilla y León;2024;10
07 Castilla y León;2023;9,6
07 Castilla y León;2022;10,4
07 Castilla y León;2021;10
07 Castilla y León;2020;6,9
07 Castilla y León;2019;3,1
07 Castilla y León;2018;3,2
07 Castilla y León;2017;2,4
07 Castilla y León;2016;5,8
07 Castilla y León;2015;5,3
07 Castilla y León;2014;4,7
07 Castilla y León;2013;3,2
07 Castilla y León;2012;6,6
07 Castilla y León;2011;7,7
07 Castilla y León;2010;9,2
07 Castilla y León;2009;7,2
07 Castilla y León;2008;4
07 Castilla y León;2007;5,6
07 Castilla y León;2006;5,8
07 Castilla y León;2005;4
07 Castilla y León;2004;2,8
08 Castilla - La Mancha;2024;13,9
08 Castilla - La Mancha;2023;13,1
08 Castilla - La Mancha;2022;14,5
08 Castilla - La Mancha;2021;14,2
08 Castilla - La Mancha;2020;8,4
08 Castilla - La Mancha;2019;6,2
08 Castilla - La Mancha;2018;9,1
08 Castilla - La Mancha;2017;4,9
08 Castilla - La Mancha;2016;16,6
08 Castilla - La Mancha;2015;13,1
08 Castilla - La Mancha;2014;13,5
08 Castilla - La Mancha;2013;15,5
08 Castilla - La Mancha;2012;8,5
08 Castilla - La Mancha;2011;9
08 Castilla - La Mancha;2010;9,2
08 Castilla - La Mancha;2009;12,4
08 Castilla - La Mancha;2008;9,7
08 Castilla - La Mancha;2007;5,3
08 Castilla - La Mancha;2006;8
08 Castilla - La Mancha;2005;5,3
08 Castilla - La Mancha;2004;3,1
09 Cataluña;2024;17
09 Cataluña;2023;14
09 Cataluña;2022;14,8
09 Cataluña;2021;14,2
09 Cataluña;2020;14,3
09 Cataluña;2019;8,1
09 Cataluña;2018;8,7
09 Cataluña;2017;8,3
09 Cataluña;2016;9,9
09 Cataluña;2015;11,9
09 Cataluña;2014;10,5
09 Cataluña;2013;10,6
09 Cataluña;2012;13
09 Cataluña;2011;6,5
09 Cataluña;2010;12,1
09 Cataluña;2009;9
09 Cataluña;2008;8,6
09 Cataluña;2007;7,4
09 Cataluña;2006;7,6
09 Cataluña;2005;8,1
09 Cataluña;2004;8,6
10 Comunitat Valenciana;2024;15,9
10 Comunitat Valenciana;2023;12,5
10 Comunitat Valenciana;2022;12,2
10 Comunitat Valenciana;2021;13,5
10 Comunitat Valenciana;2020;14,4
10 Comunitat Valenciana;2019;9,4
10 Comunitat Valenciana;2018;7,6
10 Comunitat Valenciana;2017;14,6
10 Comunitat Valenciana;2016;12,8
10 Comunitat Valenciana;2015;15,1
10 Comunitat Valenciana;2014;19,5
10 Comunitat Valenciana;2013;15,5
10 Comunitat Valenciana;2012;15
10 Comunitat Valenciana;2011;8,7
10 Comunitat Valenciana;2010;16,3
10 Comunitat Valenciana;2009;18,7
10 Comunitat Valenciana;2008;13,4
10 Comunitat Valenciana;2007;7,2
10 Comunitat Valenciana;2006;9,3
10 Comunitat Valenciana;2005;10,3
10 Comunitat Valenciana;2004;7,5
11 Extremadura;2024;11,2
11 Extremadura;2023;13,4
11 Extremadura;2022;12,4
11 Extremadura;2021;11,8
11 Extremadura;2020;13,7
11 Extremadura;2019;10,1
11 Extremadura;2018;9,9
11 Extremadura;2017;11,3
11 Extremadura;2016;6,1
11 Extremadura;2015;6,3
11 Extremadura;2014;7,8
11 Extremadura;2013;9,2
11 Extremadura;2012;7,3
11 Extremadura;2011;5,2
11 Extremadura;2010;9,2
11 Extremadura;2009;1,8
11 Extremadura;2008;3,9
11 Extremadura;2007;5,4
11 Extremadura;2006;3,5
11 Extremadura;2005;6,4
11 Extremadura;2004;5,7
12 Galicia;2024;7,5
12 Galicia;2023;9,2
12 Galicia;2022;9,4
12 Galicia;2021;9
12 Galicia;2020;8,5
12 Galicia;2019;5,6
12 Galicia;2018;3,9
12 Galicia;2017;4,5
12 Galicia;2016;6,4
12 Galicia;2015;7,8
12 Galicia;2014;7,4
12 Galicia;2013;5,9
12 Galicia;2012;7,6
12 Galicia;2011;5,6
12 Galicia;2010;7
12 Galicia;2009;6,7
12 Galicia;2008;3,4
12 Galicia;2007;5,7
12 Galicia;2006;6,3
12 Galicia;2005;4,6
12 Galicia;2004;6,6
13 Madrid, Comunidad de;2024;15
13 Madrid, Comunidad de;2023;13,8
13 Madrid, Comunidad de;2022;11,9
13 Madrid, Comunidad de;2021;13,2
13 Madrid, Comunidad de;2020;11,5
13 Madrid, Comunidad de;2019;7,2
13 Madrid, Comunidad de;2018;8,7
13 Madrid, Comunidad de;2017;6,9
13 Madrid, Comunidad de;2016;8,7
13 Madrid, Comunidad de;2015;9,2
13 Madrid, Comunidad de;2014;10,3
13 Madrid, Comunidad de;2013;11,1
13 Madrid, Comunidad de;2012;7,6
13 Madrid, Comunidad de;2011;6,6
13 Madrid, Comunidad de;2010;12,6
13 Madrid, Comunidad de;2009;12,3
13 Madrid, Comunidad de;2008;10,6
13 Madrid, Comunidad de;2007;6,1
13 Madrid, Comunidad de;2006;4
13 Madrid, Comunidad de;2005;7,1
13 Madrid, Comunidad de;2004;8,8
14 Murcia, Región de;2024;15,2
14 Murcia, Región de;2023;16,6
14 Murcia, Región de;2022;12,3
14 Murcia, Región de;2021;21,3
14 Murcia, Región de;2020;15,5
14 Murcia, Región de;2019;11,6
14 Murcia, Región de;2018;14,9
14 Murcia, Región de;2017;16,9
14 Murcia, Región de;2016;14,9
14 Murcia, Región de;2015;17,1
14 Murcia, Región de;2014;19,5
14 Murcia, Región de;2013;24,5
14 Murcia, Región de;2012;14,1
14 Murcia, Región de;2011;11,1
14 Murcia, Región de;2010;20,4
14 Murcia, Región de;2009;18,1
14 Murcia, Región de;2008;8,5
14 Murcia, Región de;2007;13,6
14 Murcia, Región de;2006;9,1
14 Murcia, Región de;2005;8,2
14 Murcia, Región de;2004;15,6
15 Navarra, Comunidad Foral de;2024;11,4
15 Navarra, Comunidad Foral de;2023;11,9
15 Navarra, Comunidad Foral de;2022;10,8
15 Navarra, Comunidad Foral de;2021;10,3
15 Navarra, Comunidad Foral de;2020;11,4
15 Navarra, Comunidad Foral de;2019;6,9
15 Navarra, Comunidad Foral de;2018;10,3
15 Navarra, Comunidad Foral de;2017;2,2
15 Navarra, Comunidad Foral de;2016;5,5
15 Navarra, Comunidad Foral de;2015;5,9
15 Navarra, Comunidad Foral de;2014;6,3
15 Navarra, Comunidad Foral de;2013;3,3
15 Navarra, Comunidad Foral de;2012;5,5
15 Navarra, Comunidad Foral de;2011;7,6
15 Navarra, Comunidad Foral de;2010;9,9
15 Navarra, Comunidad Foral de;2009;7,6
15 Navarra, Comunidad Foral de;2008;7,6
15 Navarra, Comunidad Foral de;2007;9,3
15 Navarra, Comunidad Foral de;2006;6,5
15 Navarra, Comunidad Foral de;2005;7,3
15 Navarra, Comunidad Foral de;2004;2,9
16 País Vasco;2024;7
16 País Vasco;2023;10,4
16 País Vasco;2022;7,2
16 País Vasco;2021;8,8
16 País Vasco;2020;8,2
16 País Vasco;2019;8,5
16 País Vasco;2018;5,4
16 País Vasco;2017;5,9
16 País Vasco;2016;6,5
16 País Vasco;2015;6,1
16 País Vasco;2014;5,7
16 País Vasco;2013;5,5
16 País Vasco;2012;3,9
16 País Vasco;2011;5,2
16 País Vasco;2010;4,9
16 País Vasco;2009;3,8
16 País Vasco;2008;4,8
16 País Vasco;2007;4,7
16 País Vasco;2006;6
16 País Vasco;2005;5,2
16 País Vasco;2004;4,1
17 Rioja, La;2024;8,8
17 Rioja, La;2023;10,4
17 Rioja, La;2022;7,8
17 Rioja, La;2021;8
17 Rioja, La;2020;8,2
17 Rioja, La;2019;4,9
17 Rioja, La;2018;7,9
17 Rioja, La;2017;4,4
17 Rioja, La;2016;12,5
17 Rioja, La;2015;16,2
17 Rioja, La;2014;11,4
17 Rioja, La;2013;11
17 Rioja, La;2012;10,8
17 Rioja, La;2011;10,7
17 Rioja, La;2010;12,3
17 Rioja, La;2009;11,7
17 Rioja, La;2008;7,3
17 Rioja, La;2007;9,8
17 Rioja, La;2006;5,2
17 Rioja, La;2005;4,5
17 Rioja, La;2004;4,9
18 Ceuta;2024;29,8
18 Ceuta;2023;31,8
18 Ceuta;2022;24,1
18 Ceuta;2021;29,4
18 Ceuta;2020;28,2
18 Ceuta;2019;14,5
18 Ceuta;2018;27
18 Ceuta;2017;17,7
18 Ceuta;2016;21,5
18 Ceuta;2015;37,2
18 Ceuta;2014;29,2
18 Ceuta;2013;28,7
18 Ceuta;2012;24,9
18 Ceuta;2011;23,3
18 Ceuta;2010;13,6
18 Ceuta;2009;5,4
18 Ceuta;2008;7,6
18 Ceuta;2007;16,8
18 Ceuta;2006;19
18 Ceuta;2005;16,9
18 Ceuta;2004;30,7
19 Melilla;2024;21,8
19 Melilla;2023;22,2
