|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
111|2005|Rioja|6868905|300.6|9.39|10.11||||29.43||14.66|79.24|||
112|2005|Ceuta|1236986|72.2|6.11|14.75||||24.77||11.35|70.29|||
113|2005|Melilla|1144982|66.4|3.35|15.25||||18.8||19.84|70.29|||
114|2006|Andalucía|139373481|7923.9|10.05|12.03||||27.09||21.15|64.91|||
115|2006|Aragón|31411624|1283.0|7.64|9.57||||25.87||15.65|77.89|||
116|2006|Asturias|21339027|1063.8|10.44|7.14||||21.76||18.65|75.12|||
117|2006|Balears|24935415|987.2|7.66|11.83||||22.73||15.09|76.25|||
118|2006|Canarias|37445827|1921.8|9.04|10.75||||21.88||18.22|62.62|||
119|2006|Cantabria|11951944|564.2|5.39|9.27||||23.92||11.12|76.39|||
120|2006|Castilla Y León|51563915|2502.6|6.97|7.9||||22.81||13.84|83.43|||
121|2006|Castilla - La Mancha|35995174|1941.2|8.14|10.5||||24.52||20.59|74.64|||
122|2006|Cataluña|189253240|7076.7|6.22|11.63||||22.97||14.25|60.75|||
123|2006|Comunitat Valenciana|98090683|4736.7|8.73|11.14||||27.56||17.33|83.23|||
124|2006|Extremadura|16826962|1077.9|8.98|9.39||||24.69||21.64|62.76|||
125|2006|Galicia|51960207|2733.4|11.47|7.83||||20.28||19.18|71.53|||
126|2006|Madrid|180932461|6003.9|4.51|11.98||||20.94||14.28|76.26|||
127|2006|Murcia|26355824|1367.4|8.73|13.23||||25.01||20.32|60.04|||
128|2006|Navarra|16772179|596.6|9.17|10.98||||23.34||11.15|77.23|||
129|2006|País Vasco|59871764|2134.1|7.52|9.38||||23.31||15.26|78.14|||
130|2006|Rioja|7427020|304.9|8.67|10.07||||24.43||14.88|78.27|||
131|2006|Ceuta|1327102|73.3|4.38|14.2||||18.66||24.88|61.54|||
132|2006|Melilla|1227093|67.9|5.21|16.52||||18.99||12.78|74.6|||
133|2007|Andalucía|149010277|8052.8|10.18|11.93|12.62|||24.37|4.4|19.9|72.77|||
134|2007|Aragón|34148523|1309.4|6.09|9.82|5.52|||23.93|3.33|16.58|77.94|||
135|2007|Asturias|22873639|1068.0|10.76|7.33|9.16|||19.08|6.67|18.64|74.75|||
136|2007|Balears|26749452|1025.2|7.43|11.62|6.44|||23.03|4.26|13.23|76.33|||
137|2007|Canarias|39902031|1968.0|9.66|10.03|11.62|||22.65|2.41|19.25|62.43|||
138|2007|Cantabria|12838674|572.6|4.32|9.39|6.46|||21.4|2.66|15.08|57.46|||
139|2007|Castilla Y León|55130537|2528.4|7.17|7.94|8.11|||21.6|3.47|15.47|78.01|||
140|2007|Castilla - La Mancha|39219857|2003.3|7.63|10.42|8.84|||23.41|7.76|19.7|68.95|||
141|2007|Cataluña|202742146|7232.3|5.49|11.62|6.49|||23.65|4.05|15.02|66.21|||
142|2007|Comunitat Valenciana|104836698|4867.7|7.9|11.19|8.33|||21.96|5.75|17.27|79.24|||
143|2007|Extremadura|18136908|1085.8|6.66|9.19|13.31|||25.61|4.32|16.8|64.43|||
144|2007|Galicia|56005680|2747.1|10.29|7.92|8.35|||19.14|6.32|20.66|63.73|||
145|2007|Madrid|194151492|6152.8|3.71|12.16|6.3|||23.21|5.12|14.59|78.35|||
146|2007|Murcia|28418142|1404.9|9.84|13.24|7.88|||25.56|3.92|17.28|73.37|||
147|2007|Navarra|17870475|609.8|6.55|10.82|5.37|||23.17|6.43|11.71|77.52|||
148|2007|País Vasco|63889516|2151.1|6.69|9.57|7.16|||22.75|3.94|12.99|76.85|||
149|2007|Rioja|7961817|312.4|9.02|10.47|6.11|||21.76|3.0|14.37|75.43|||
150|2007|Ceuta|1420486|74.6|2.05|15.24|21.49|||22.83|4.54|18.22|66.23|||
151|2007|Melilla|1296125|70.1|0.0|15.87|13.59|||15.34|4.54|19.44|61.43|||
152|2008|Andalucía|152247439|8168.6|9.9|12.28|12.76|||22.67|3.88|21.0|64.18|||
153|2008|Aragón|35439689|1336.4|7.31|10.23|5.3|||24.13|1.34|15.73|80.04|||
154|2008|Asturias|23614274|1074.0|10.35|7.65|8.41|||23.78|5.32|21.68|75.54|||
155|2008|Balears|27892127|1057.4|7.62|12.02|7.16|||23.09|1.38|15.49|67.23|||
156|2008|Canarias|41156055|2010.0|8.39|10.28|10.45|||22.29|1.12|19.26|73.51|||
157|2008|Cantabria|13280853|581.2|2.69|10.13|5.96|||22.88|5.57|17.5|20.6|||
158|2008|Castilla Y León|56295496|2546.4|7.94|8.37|7.13|||22.7|4.55|13.22|81.11|||
159|2008|Castilla - La Mancha|40786424|2050.5|7.22|11.24|7.66|||24.55|5.37|20.32|86.74|||
160|2008|Cataluña|208161832|7377.1|5.35|12.1|6.47|||22.53|1.79|14.94|74.39|||
161|2008|Comunitat Valenciana|107950942|4959.6|8.3|11.51|8.74|||24.76|2.18|18.75|86.32|||
162|2008|Extremadura|18842360|1091.5|7.26|9.84|12.98|||23.9|5.65|19.28|67.49|||
163|2008|Galicia|58253982|2760.0|10.33|8.4|7.57|||17.83|2.42|18.35|57.69|||
164|2008|Madrid|201865569|6283.7|2.59|12.54|6.24|||19.0|3.67|15.87|81.8|||
165|2008|Murcia|29541076|1431.5|7.58|13.54|7.54|||23.25|4.15|16.11|52.82|||
166|2008|Navarra|18620264|622.0|10.08|11.3|4.72|||20.39|2.59|15.37|79.62|||
167|2008|País Vasco|66382420|2166.8|7.82|9.83|6.22|||19.8|5.7|13.84|78.75|||
168|2008|Rioja|8264894|318.4|6.21|11.05|5.77|||20.09|1.03|14.95|72.61|||
169|2008|Ceuta|1483989|75.8|2.64|15.37|20.99|||24.25|0.28|24.13|62.24|||
170|2008|Melilla|1357572|72.2|9.1|17.34|18.21|||19.49|1.62|19.72|62.05|||
171|2009|Andalucía|145802256|8244.5|10.87|11.48|17.73|9437.0||20.93|1.29|19.67|80.82|||
172|2009|Aragón|33814117|1344.5|7.21|9.72|7.29|11963.0||17.76|2.98|15.75|86.35|||
173|2009|Asturias|22366414|1076.4|9.47|7.63|8.5|12412.0||19.24|3.87|19.12|72.7|||
174|2009|Balears|26770420|1078.1|8.16|11.17|10.16|11909.0||20.54|1.7|16.35|21.48|||
175|2009|Canarias|39505370|2034.2|9.72|9.32|17.25|9416.0||20.69|1.55|17.5|65.47|||
176|2009|Cantabria|12811684|586.8|3.98|9.58|7.16|11736.0||18.88|0.89|13.68|59.69|||
177|2009|Castilla Y León|54452146|2547.6|7.87|8.01|9.62|10852.0||18.98|3.59|16.82|83.8|||
178|2009|Castilla - La Mancha|39355657|2075.9|7.72|10.75|11.67|9530.0||20.6|2.37|14.4|80.4|||
179|2009|Cataluña|200745296|7447.3|5.84|11.44|8.89|13048.0||20.91|1.09|14.2|77.65|||
180|2009|Comunitat Valenciana|101989994|4984.4|7.65|10.51|11.99|10310.0||19.88|2.06|16.66|80.6|||
181|2009|Extremadura|18370208|1097.1|7.19|9.4|15.35|8407.0||25.32|0.84|12.82|57.88|||
182|2009|Galicia|56253055|2769.1|9.95|8.14|8.64|9764.0||17.71|0.93|16.49|69.25|||
183|2009|Madrid|199290149|6354.1|2.95|11.95|8.61|13089.0||17.74|1.26|13.42|79.07|||
184|2009|Murcia|28076274|1448.5|8.73|12.82|12.44|9751.0||23.65|0.62|19.08|82.45|||
185|2009|Navarra|18001876|630.1|8.67|10.86|6.83|13903.0||18.17|1.69|13.23|81.46|||
186|2009|País Vasco|63601702|2177.0|7.52|9.6|6.63|14539.0||16.09|3.24|13.51|82.96|||
187|2009|Rioja|7911873|319.8|8.97|10.41|7.9|11577.0||18.74|2.61|15.81|80.72|||
188|2009|Ceuta|1484372|77.8|2.45|14.81|17.43|8537.0||20.09|2.0|13.5|59.25|||
189|2009|Melilla|1361870|74.5|10.48|17.09|19.99|12113.0||15.18|0.0|6.81|32.44|||
190|2010|Andalucía|145853901|8302.9|9.89|11.1|25.24|9882.0||18.23|1.88|16.7|49.48|49.3|0.94|
191|2010|Aragón|34100336|1343.8|8.05|9.63|13.05|12904.0||15.48|2.49|17.85|65.74|38.1|0.74|
