año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2016,Aragón,1175750.0,34542128.0,29.378803317031682,12931.0,15998.0,171160.0,157510.0,8.3,9.45,0.61,29.0,16.29,5.0,1.5,8.2,22.5,43.3,5.1,26.8,1256.92,6.24
2017,Aragón,1175513.0,35983544.0,30.610928164979885,12223.0,16492.0,177560.0,158390.0,8.0,7.96,0.61,28.8,14.74,4.1,1.9,3.7,16.1,31.7,4.6,18.5,1246.33,6.56
2018,Aragón,1172036.0,37213896.0,31.751495687845765,12653.0,16896.0,176720.0,158670.0,7.58,7.1,0.68,30.7,11.65,5.2,4.7,3.9,18.2,44.5,4.3,28.9,1280.17,7.02
2019,Aragón,1169992.0,38465053.0,32.8763384706904,12425.0,17585.0,180670.0,172410.0,7.28,8.46,0.45,32.2,10.63,4.9,6.1,3.8,19.4,37.3,4.7,27.6,1305.67,7.42
2020,Aragón,1167343.0,35955571.0,30.801204958611137,12853.0,17380.0,19150.0,180420.0,6.83,7.75,0.3,27.1,10.03,5.9,4.8,5.4,16.3,28.2,4.7,26.0,1320.17,7.73
2021,Aragón,1163912.0,38782157.0,33.32052337290104,13716.0,17925.0,193810.0,181210.0,7.21,7.07,0.38,31.4,11.7,6.7,6.1,12.4,16.2,34.8,4.9,26.9,1313.08,7.87
2022,Aragón,1161553.0,43655726.0,37.5839294461811,14023.0,19066.0,203470.0,193250.0,6.73,8.11,0.74,35.9,10.33,6.9,3.1,8.8,15.0,38.9,4.4,27.2,1324.0,8.11
2009,Asturias,1038170.0,22366414.0,21.544076596318522,12412.0,14854.0,185610.0,160830.0,7.63,9.47,1.77,26.5,8.5,4.8,1.7,5.3,12.9,50.0,5.1,21.6,1760.42,8.21
2010,Asturias,1035055.0,22590616.0,21.825522315239287,13103.0,14811.0,183770.0,158410.0,7.21,9.77,1.77,26.5,13.42,3.8,1.2,3.3,11.4,44.1,4.7,19.6,1766.42,7.58
2011,Asturias,1031088.0,22261796.0,21.590587806278418,12986.0,15045.0,17080.0,156930.0,7.24,12.15,0.84,27.1,15.92,5.3,1.8,2.6,17.4,38.0,4.9,17.8,1833.33,7.15
2012,Asturias,1026533.0,21265200.0,20.715554200400767,12182.0,14318.0,169220.0,15550.0,7.12,9.87,0.56,28.2,17.84,5.7,1.7,5.1,19.1,45.900000000000006,5.2,26.5,1660.33,6.67
2013,Asturias,1019771.0,20693890.0,20.292683357341993,12134.0,14316.0,159940.0,151340.0,6.28,10.74,0.75,28.3,21.83,7.6,1.0,7.5,21.7,47.8,5.1,27.0,1564.92,6.24
2014,Asturias,1016632.0,20636251.0,20.298643953761047,11645.0,14350.0,160110.0,147240.0,6.26,12.16,0.66,27.0,24.13,7.2,0.9,8.4,26.9,52.0,6.3,24.9,1456.33,6.0
2015,Asturias,1009889.0,21388142.0,21.178705778555862,11777.0,14955.0,162270.0,14880.0,6.18,12.29,0.38,25.9,21.13,8.7,1.2,6.5,22.9,55.7,5.2,29.0,1410.17,5.99
2016,Asturias,1002290.0,21675441.0,21.625917648584743,11957.0,15091.0,172410.0,162770.0,6.12,11.1,0.58,25.2,19.11,6.5,1.4,5.3,19.8,43.4,5.1,22.7,1374.42,6.18
2017,Asturias,996076.0,22538267.0,22.627055566041147,12424.0,15673.0,175470.0,156980.0,5.84,10.87,0.49,24.9,17.62,7.4,1.7,5.8,16.6,45.9,5.5,34.5,1360.92,6.45
2018,Asturias,988160.0,23185680.0,23.463487694300518,12696.0,16168.0,173430.0,159250.0,5.6,11.29,0.68,25.8,13.71,6.8,2.8,4.5,17.4,42.3,4.8,31.6,1357.42,6.74
2019,Asturias,981174.0,23666618.0,24.12071457254269,12464.0,16773.0,178680.0,159820.0,5.05,11.05,0.69,26.7,13.61,11.4,3.8,4.8,24.4,36.8,7.8,28.1,1348.0,7.06
2020,Asturias,973463.0,21376392.0,21.959121199264892,13074.0,16705.0,180280.0,15930.0,4.7,10.67,0.49,24.0,14.19,9.7,3.3,11.7,22.5,34.0,7.3,27.6,1340.17,7.26
2021,Asturias,966347.0,23617641.0,24.440124510139732,13351.0,17413.0,179680.0,168010.0,4.74,10.12,0.1,26.1,14.12,10.5,2.9,10.0,21.4,32.6,6.0,25.9,1339.42,7.47
2022,Asturias,959056.0,26698594.0,27.83840985302214,13421.0,18614.0,193680.0,176320.0,4.72,11.04,0.6,31.9,12.35,10.4,3.8,7.6,20.1,39.4,5.7,24.0,1340.08,7.71
2009,Balears,857864.0,26770420.0,31.205902101032333,11909.0,15421.0,175480.0,153080.0,11.17,8.16,0.55,64.5,10.16,18.5,5.9,18.6,18.1,62.2,6.3,37.8,2361.08,10.65
2010,Balears,863793.0,26797013.0,31.02249381506912,12492.0,15211.0,170760.0,152660.0,11.0,10.0,0.55,64.5,17.92,20.6,4.8,13.7,22.5,61.8,6.9,36.1,2363.0,9.72
2011,Balears,870302.0,26646250.0,30.617245507881172,12189.0,15385.0,165680.0,148970.0,10.28,9.22,1.1,68.0,20.12,20.1,4.5,17.4,23.5,59.3,9.2,36.7,2394.25,8.72
2012,Balears,876869.0,26224305.0,29.906753460323035,11689.0,14640.0,163170.0,143950.0,9.96,8.54,0.45,67.7,21.86,20.9,6.5,17.7,24.1,44.4,6.9,35.9,2137.0,8.11
2013,Balears,887268.0,26227926.0,29.560319993508163,11513.0,14496.0,154270.0,135230.0,9.46,8.3,0.9,66.8,23.17,19.5,7.3,19.4,26.4,68.0,7.1,42.9,1986.5,7.58
2014,Balears,900330.0,27108615.0,30.10964313085202,10928.0,14655.0,157290.0,141150.0,9.53,10.05,1.08,62.0,22.26,21.8,10.4,21.3,26.5,60.9,8.9,37.9,1941.75,7.72
2015,Balears,911961.0,28653742.0,31.419920369401762,11317.0,15418.0,158940.0,149540.0,9.38,8.71,0.72,59.9,20.0,20.5,6.4,21.7,28.6,57.2,9.1,40.2,1958.75,8.39
2016,Balears,918324.0,30233284.0,32.92224095199516,11412.0,16074.0,178940.0,150070.0,9.29,8.54,0.8,60.7,17.31,11.5,10.5,12.6,20.8,53.3,6.1,32.7,2026.92,9.94
2017,Balears,929066.0,31746251.0,34.17007080228961,13068.0,16344.0,183120.0,1400.0,8.88,8.03,0.35,63.6,13.89,16.8,11.7,15.4,26.1,51.8,8.2,36.8,2274.67,11.97
2018,Balears,936047.0,33185968.0,35.45331377591082,13664.0,16857.0,195540.0,170390.0,8.75,8.81,0.7,64.2,12.43,9.7,7.9,10.2,17.7,62.4,5.5,33.6,2678.17,12.42
2019,Balears,944473.0,34350576.0,36.370098457023126,14103.0,17529.0,18420.0,167980.0,8.08,6.1,0.51,66.6,11.52,11.7,13.8,14.0,16.7,52.7,4.8,28.7,2989.08,12.4
2020,Balears,951508.0,26669106.0,28.028251995779332,13169.0,15616.0,187870.0,183630.0,7.78,8.06,0.59,50.7,11.74,10.4,9.7,13.1,14.6,49.0,4.6,36.6,3069.42,12.23
2021,Balears,952711.0,30512146.0,32.026654462895884,13565.0,16810.0,168670.0,157650.0,7.81,7.03,0.51,51.6,16.14,17.8,6.5,20.3,19.4,42.7,5.1,30.9,3188.75,11.49
2022,Balears,954642.0,37187160.0,38.95403722023544,11771.0,18339.0,185760.0,168780.0,7.58,7.09,0.25,63.4,14.32,11.8,9.3,20.5,17.0,49.2,4.9,36.4,3465.42,12.86
2009,Canarias,1802788.0,39505370.0,21.913486222451002,9416.0,12528.0,136120.0,116730.0,9.32,9.72,0.83,45.8,17.25,9.6,9.6,20.8,29.2,77.5,6.3,60.1,1686.58,7.91
2010,Canarias,1811140.0,39738165.0,21.94096811952693,9333.0,12576.0,139050.0,127370.0,8.92,8.6,0.83,45.8,26.01,12.4,11.6,15.1,29.7,75.2,6.7,55.5,1650.42,7.47
