año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2019,Cataluña,6515790.0,240165818.0,36.859048250480754,13941.0,18458.0,200490.0,17790.0,8.09,6.75,0.76,63.8,11.49,10.3,7.3,8.1,16.1,50.8,5.6,26.1,2176.75,13.55
2020,Cataluña,6519860.0,214857435.0,32.954301932863586,14268.0,17749.0,208720.0,189430.0,7.64,6.81,0.62,45.7,11.03,10.1,11.9,14.3,17.2,45.0,6.2,33.4,2199.33,13.88
2021,Cataluña,6512697.0,234820402.0,36.05578487683367,14990.0,18688.0,209270.0,188280.0,7.52,7.05,0.74,50.5,12.63,10.4,8.3,14.2,15.4,42.5,5.5,32.9,2259.83,13.01
2022,Cataluña,6520801.0,258786739.0,39.68634206135105,14943.0,19147.0,216370.0,197340.0,7.19,7.18,0.79,60.7,11.69,10.7,9.0,14.8,14.5,48.6,5.2,34.8,2289.58,13.7
2009,Ceuta,75124.0,1484372.0,19.75895852191044,8537.0,13428.0,142610.0,115740.0,14.81,2.45,1.24,74.1,17.43,9.8,21.6,5.4,36.4,77.8,15.0,44.8,2162.17,10.95
2010,Ceuta,76584.0,1494058.0,19.50874856366865,9367.0,13004.0,153320.0,132510.0,14.79,10.79,1.24,74.1,18.55,5.0,19.4,13.6,31.3,78.0,8.3,58.7,2162.17,10.95
2011,Ceuta,77448.0,1491191.0,19.25409306889784,10696.0,12824.0,162080.0,129110.0,14.06,6.86,4.82,75.9,23.92,5.8,33.9,23.3,27.4,68.5,8.1,48.0,2162.17,10.95
2012,Ceuta,78206.0,1438908.0,18.398946372401095,10882.0,11751.0,155110.0,127790.0,13.4,1.14,0.0,83.8,27.71,9.2,32.8,24.9,32.6,81.0,10.8,66.4,2150.08,10.79
2013,Ceuta,78512.0,1454750.0,18.529014672916244,10852.0,11963.0,146860.0,107210.0,12.85,3.76,2.37,69.3,37.02,6.6,33.0,28.7,43.5,82.4,10.9,69.6,2133.92,10.19
2014,Ceuta,79427.0,1446625.0,18.2132650106387,10091.0,11898.0,137580.0,94920.0,14.2,4.54,7.1,62.8,34.84,5.2,29.0,29.2,50.4,79.0,9.2,69.2,2052.83,9.59
2015,Ceuta,79114.0,1498459.0,18.940503577116566,9493.0,12453.0,133620.0,111680.0,12.97,6.51,1.18,58.8,31.85,7.7,25.1,37.2,37.6,69.5,7.1,63.2,2046.17,9.67
2016,Ceuta,79086.0,1537398.0,19.43957211137243,9430.0,12738.0,148580.0,123580.0,12.51,4.25,4.72,54.7,27.63,9.5,24.3,21.5,39.4,64.7,6.3,63.7,2094.67,9.4
2017,Ceuta,79316.0,1553567.0,19.58705683594735,10232.0,12680.0,150750.0,122810.0,12.29,5.52,1.18,52.9,24.92,7.3,17.9,17.7,35.6,60.5,11.5,42.4,2065.83,9.65
2018,Ceuta,79302.0,1611648.0,20.32291745479307,10235.0,13245.0,149910.0,103390.0,11.44,3.35,1.17,55.4,22.45,7.8,20.8,27.0,46.3,64.0,10.3,64.6,2103.17,9.72
2019,Ceuta,78985.0,1659979.0,21.01638285750459,10637.0,13958.0,160590.0,120580.0,9.96,1.11,4.72,56.0,29.01,12.4,21.2,14.5,44.0,51.8,11.5,50.6,2095.58,8.7
2020,Ceuta,78497.0,1535718.0,19.564034294304243,10724.0,13880.0,150580.0,124550.0,10.04,4.59,2.37,43.2,25.84,12.0,17.8,28.2,36.3,42.6,10.7,55.9,2095.58,8.7
2021,Ceuta,78150.0,1634006.0,20.90858605246321,10750.0,14848.0,161590.0,123320.0,8.68,5.12,2.41,47.1,24.53,14.1,7.0,29.4,35.7,53.9,9.5,54.9,2095.58,8.7
2022,Ceuta,78207.0,1768941.0,22.618704208063217,11305.0,15590.0,188640.0,14750.0,8.77,5.55,4.82,43.9,30.85,9.5,16.9,24.1,34.8,60.3,11.0,47.0,2095.58,8.7
2009,Comunitat Valenciana,4205335.0,101989994.0,24.252525423063798,10310.0,13165.0,157030.0,140040.0,10.51,7.65,0.92,57.6,11.99,12.1,3.7,18.7,20.4,64.7,5.3,39.3,1640.5,6.52
2010,Comunitat Valenciana,4217947.0,101870024.0,24.151565678753194,11018.0,13220.0,15780.0,136450.0,10.36,7.83,0.92,57.6,20.76,9.1,3.0,16.3,22.4,63.8,6.2,40.8,1554.08,6.08
2011,Comunitat Valenciana,4236408.0,100387555.0,23.69638500352185,11077.0,13332.0,153440.0,13280.0,9.89,8.03,0.92,56.9,22.86,9.2,4.6,8.7,26.0,59.7,6.0,40.6,1504.83,5.72
2012,Comunitat Valenciana,4246254.0,95835883.0,22.56951256330874,10682.0,12519.0,148640.0,13010.0,9.52,6.56,1.02,55.6,23.99,11.5,3.9,15.0,29.7,66.5,6.7,47.4,1387.67,5.6
2013,Comunitat Valenciana,4249924.0,95110090.0,22.379244899438202,10451.0,12501.0,138810.0,12130.0,8.9,7.98,0.64,52.4,27.19,11.0,4.0,15.5,33.1,71.3,6.5,42.8,1257.75,5.28
2014,Comunitat Valenciana,4265214.0,97256083.0,22.802157875314112,9840.0,12631.0,134460.0,117170.0,8.96,7.89,0.65,50.0,28.05,9.4,2.8,19.5,36.0,77.5,5.8,47.9,1201.5,5.16
2015,Comunitat Valenciana,4280478.0,101214206.0,23.64553818522137,9556.0,13183.0,133050.0,117690.0,8.81,7.43,0.97,47.5,25.82,11.5,4.6,15.1,36.5,73.3,6.4,41.6,1201.58,5.25
2016,Comunitat Valenciana,4287589.0,104205396.0,24.303961037310245,9549.0,13460.0,135890.0,118610.0,8.52,6.79,0.61,46.6,22.78,11.1,5.6,12.8,34.8,69.3,6.0,43.8,1194.42,5.64
2017,Comunitat Valenciana,4299129.0,108666712.0,25.276448322439265,9723.0,13857.0,143650.0,130940.0,8.18,6.68,0.83,46.0,20.61,11.2,4.7,14.6,31.9,63.400000000000006,6.6,49.4,1218.5,6.06
2018,Comunitat Valenciana,4298782.0,112749574.0,26.22826047005873,10288.0,14219.0,150380.0,137480.0,7.68,7.73,0.5,46.7,18.17,9.3,4.2,7.6,30.9,58.2,5.6,39.9,1307.08,6.69
2019,Comunitat Valenciana,4300356.0,116588528.0,27.111366593835488,10761.0,14828.0,155820.0,139940.0,7.47,7.72,0.8,46.4,15.59,7.0,4.0,9.4,28.5,50.6,5.6,35.3,1375.75,7.16
2020,Comunitat Valenciana,4305222.0,106067171.0,24.636864486895217,11132.0,14535.0,165180.0,15180.0,7.1,8.55,0.73,38.2,14.11,10.6,2.9,14.4,25.7,47.8,6.6,36.8,1392.75,7.58
2021,Comunitat Valenciana,4306522.0,116386906.0,27.025731204902705,11926.0,15142.0,164740.0,152730.0,7.06,8.34,0.69,44.4,16.19,9.6,4.0,13.5,26.9,47.8,6.2,32.3,1457.83,7.56
2022,Comunitat Valenciana,4313498.0,127671811.0,29.598207997314475,11803.0,15436.0,174440.0,155250.0,6.9,7.5,0.72,51.0,16.08,7.4,3.8,12.2,22.3,48.2,5.2,34.6,1549.17,8.31
2009,Extremadura,1065187.0,18370208.0,17.24599342650633,8407.0,11096.0,138330.0,120240.0,9.4,7.19,0.27,27.3,15.35,3.9,3.0,1.8,29.7,66.7,5.6,30.1,1148.08,5.32
2010,Extremadura,1067864.0,18652452.0,17.467066967329174,9481.0,11348.0,135090.0,109430.0,9.2,6.87,0.27,27.3,20.63,4.9,1.5,9.2,35.3,66.9,5.6,46.1,1130.92,4.92
2011,Extremadura,1067648.0,18273867.0,17.116003589197938,9414.0,11341.0,131510.0,108520.0,9.01,7.39,0.91,26.7,22.97,4.6,2.8,5.2,36.6,56.9,5.5,44.5,1180.25,4.82
2012,Extremadura,1065589.0,17579526.0,16.49747322842109,9176.0,10832.0,122810.0,10490.0,8.55,6.1,1.18,26.7,25.08,7.0,3.2,7.3,38.9,61.2,6.3,47.1,1100.17,4.81
2013,Extremadura,1062327.0,17606422.0,16.573448665053228,8597.0,10956.0,121390.0,102130.0,8.09,6.63,0.64,26.7,33.08,5.4,1.5,9.2,43.4,73.9,5.7,46.9,1023.92,4.52
2014,Extremadura,1061916.0,17564650.0,16.540526745994974,8675.0,10964.0,113450.0,99050.0,8.38,6.42,0.37,25.8,33.87,7.5,3.6,7.8,46.8,72.8,5.7,41.9,980.08,4.34
2015,Extremadura,1058660.0,18494971.0,17.470170781931877,8101.0,11433.0,124210.0,103590.0,8.18,5.65,0.09,25.0,29.79,5.8,4.2,6.3,44.8,67.6,5.8,40.0,951.0,4.27
2016,Extremadura,1054071.0,19069471.0,18.0912585584842,8947.0,11857.0,127750.0,106730.0,8.12,5.12,0.65,24.3,29.09,3.6,2.6,6.1,42.2,65.4,5.4,43.4,927.0,4.38
2017,Extremadura,1048303.0,20169546.0,19.24018723594228,9078.0,12399.0,120060.0,96440.0,7.92,7.1,0.74,24.6,27.52,5.8,2.8,11.3,46.8,61.900000000000006,5.9,50.8,921.75,4.62
2018,Extremadura,1041216.0,20713254.0,19.893330490503413,8683.0,12647.0,123760.0,102650.0,7.33,6.6,0.37,25.1,26.22,5.2,1.6,9.9,45.7,66.6,4.8,44.4,912.42,4.74
2019,Extremadura,1035087.0,21166132.0,20.44865021007896,8917.0,13151.0,128160.0,108820.0,7.2,6.15,0.47,25.9,23.64,6.4,1.6,10.1,39.6,57.8,4.8,44.7,903.08,5.0
2020,Extremadura,1029320.0,19497343.0,18.94196459798702,9150.0,13246.0,132970.0,120060.0,6.97,7.05,0.85,23.6,21.53,3.7,4.1,13.7,33.9,55.3,4.5,46.8,902.33,5.12
2021,Extremadura,1024615.0,21551517.0,21.03377073339742,9575.0,13931.0,139080.0,120960.0,6.87,8.16,0.38,25.8,21.8,5.6,2.3,11.8,33.4,49.2,5.1,39.3,930.42,5.38
2022,Extremadura,1019638.0,23479961.0,23.027742198701894,9865.0,14416.0,148430.0,127540.0,6.46,7.02,0.28,30.4,20.16,4.4,1.8,12.4,30.2,55.7,4.6,42.3,936.5,5.63
2009,Galicia,2689452.0,56253055.0,20.91617734765298,9764.0,13511.0,151130.0,136070.0,8.14,9.95,0.61,28.0,8.64,4.5,1.9,6.7,19.2,60.400000000000006,4.6,33.6,1543.83,7.56
2010,Galicia,2687983.0,56787248.0,21.12634194487093,10307.0,13375.0,157640.0,139350.0,7.95,11.37,0.61,28.0,12.44,4.7,2.5,7.0,18.0,60.7,5.0,36.8,1588.33,6.78
2011,Galicia,2684954.0,55816965.0,20.788797498951563,10825.0,13485.0,15450.0,137910.0,7.79,9.16,0.51,29.5,15.32,5.8,3.6,5.6,19.2,62.0,5.0,30.0,1728.83,6.34
2012,Galicia,2669315.0,54021344.0,20.237905230368092,10746.0,12897.0,153330.0,135150.0,7.63,10.02,0.58,30.1,17.26,6.7,0.7,7.6,23.6,63.0,5.4,35.2,1658.75,6.15
2013,Galicia,2655978.0,54038718.0,20.34607139065158,10598.0,12918.0,150370.0,131050.0,7.17,10.97,0.55,29.5,20.53,7.0,1.3,5.9,24.5,72.30000000000001,4.8,36.6,1522.42,5.64
2014,Galicia,2650450.0,54411393.0,20.529115055933897,10464.0,13111.0,152730.0,13330.0,7.17,11.07,0.73,28.6,22.04,4.5,1.4,7.4,26.7,65.9,5.0,36.5,1450.67,5.56
2015,Galicia,2641706.0,57010602.0,21.580979109711677,10525.0,13591.0,151330.0,134590.0,7.13,12.19,0.7,28.1,21.65,6.4,2.1,7.8,27.0,56.7,5.5,27.4,1401.33,5.48
2016,Galicia,2630559.0,58564023.0,22.262957417035693,10484.0,13984.0,154280.0,13250.0,7.03,10.47,0.44,27.4,19.31,6.6,0.9,6.4,26.1,56.0,5.5,28.9,1382.92,5.46
2017,Galicia,2621150.0,60630852.0,23.131393472330846,10789.0,14438.0,15880.0,147560.0,6.82,11.07,0.48,27.4,17.15,6.3,2.5,4.5,22.5,42.9,5.8,21.6,1387.0,5.61
2018,Galicia,2609185.0,62649363.0,24.0110850706255,11108.0,14876.0,167580.0,150530.0,6.14,10.61,0.3,29.1,15.67,4.6,1.5,3.9,22.6,45.5,5.4,20.3,1367.75,5.94
2019,Galicia,2598631.0,64502005.0,24.821532953312726,11438.0,15488.0,166210.0,149670.0,5.82,8.86,0.59,29.7,13.34,5.1,2.0,5.6,24.3,39.3,5.2,24.4,1341.5,6.39
2020,Galicia,2589181.0,59007178.0,22.789900744675634,11497.0,15290.0,167570.0,154110.0,5.65,9.57,0.41,27.2,11.76,5.3,1.8,8.5,22.5,36.9,5.3,28.1,1321.67,6.83
2021,Galicia,2581111.0,64387386.0,24.945609080740812,11863.0,15922.0,167850.0,154090.0,5.5,9.91,0.67,32.8,12.02,5.4,2.4,9.0,21.8,41.400000000000006,5.1,24.7,1327.58,7.1
2022,Galicia,2571724.0,71637767.0,27.855931274118063,11835.0,16877.0,180930.0,166750.0,5.38,10.93,0.26,35.2,11.54,4.8,3.2,9.4,18.1,44.0,4.5,29.3,1325.17,7.38
2009,Madrid,5323129.0,199290149.0,37.438534553643166,13089.0,18183.0,205970.0,183490.0,11.95,2.95,0.8,62.9,8.61,15.4,7.5,12.3,15.4,56.5,6.3,32.5,2600.58,11.03
2010,Madrid,5378740.0,198289849.0,36.86548318007563,14100.0,18208.0,201280.0,180640.0,11.57,2.51,0.8,62.9,13.86,13.2,8.5,12.6,14.3,56.0,5.9,36.8,2589.0,10.99
2011,Madrid,5422095.0,199623724.0,36.8167145725038,14089.0,18411.0,199840.0,171140.0,11.24,1.95,0.72,61.3,15.84,12.6,7.3,6.6,15.4,60.5,6.1,36.7,2610.58,10.98
2012,Madrid,5483506.0,196359670.0,35.80914655696556,13695.0,17348.0,199020.0,171320.0,10.8,2.17,0.75,61.3,16.33,13.4,7.4,7.6,17.3,64.1,6.5,39.7,2425.42,10.52
2013,Madrid,5535430.0,193344523.0,34.928546291796664,13636.0,17450.0,191240.0,168560.0,10.22,1.46,0.58,59.3,18.53,14.5,7.4,11.1,19.8,63.0,6.1,39.2,2253.42,9.89
2014,Madrid,5574487.0,196018105.0,35.16343387292858,13506.0,17683.0,187890.0,164980.0,10.27,5.19,0.64,57.4,19.76,14.5,6.5,10.3,21.1,63.7,6.5,37.7,2181.58,9.95
2015,Madrid,5625868.0,206231525.0,36.65772552786521,13221.0,18441.0,185930.0,16030.0,10.14,5.34,0.47,57.1,18.74,13.5,7.4,9.2,20.6,58.4,6.9,33.7,2162.67,10.39
2016,Madrid,5674369.0,214469101.0,37.796114598821475,13182.0,19064.0,187090.0,164640.0,9.79,5.06,0.51,58.1,17.06,15.6,6.2,8.7,22.4,58.5,7.2,33.6,2145.92,11.1
2017,Madrid,5711913.0,224373156.0,39.281613007761145,13319.0,19532.0,193140.0,172940.0,9.31,4.73,0.6,58.8,15.72,15.1,6.5,6.9,20.3,47.1,7.7,34.0,2175.58,12.26
2018,Madrid,5751623.0,233735808.0,40.638235155537835,13855.0,19703.0,196480.0,168920.0,8.74,5.16,0.55,59.4,13.34,13.5,6.0,8.7,18.5,51.9,6.3,31.8,2473.92,13.55
2019,Madrid,5781575.0,243889359.0,42.18389608367962,13863.0,20638.0,21030.0,176810.0,8.34,5.1,0.48,61.2,12.22,13.0,6.1,7.2,18.4,43.2,6.5,31.2,2720.42,14.14
2020,Madrid,5824174.0,221061932.0,37.95592851449837,14806.0,19755.0,214290.0,181540.0,7.75,5.18,0.56,46.1,10.62,10.1,11.9,11.5,16.2,42.2,5.8,30.1,2724.17,14.41
2021,Madrid,5796129.0,239837609.0,41.3789287643529,15365.0,20654.0,21990.0,192060.0,7.62,5.36,0.55,51.5,12.49,13.4,9.0,13.2,16.0,40.7,6.3,30.6,2857.17,13.52
2022,Madrid,5800367.0,267385856.0,46.098092758613376,15504.0,21261.0,233380.0,202840.0,7.49,5.01,0.66,58.9,11.69,12.2,8.5,11.9,14.8,43.3,5.7,31.3,3010.42,14.11
2009,Melilla,65863.0,1361870.0,20.677315032719434,12113.0,12476.0,17120.0,186340.0,17.09,10.48,0.0,60.1,19.99,7.4,14.9,13.1,30.0,67.5,9.9,52.2,1807.92,9.2
2010,Melilla,67161.0,1367400.0,20.36003037477107,12370.0,12165.0,182590.0,171980.0,17.55,8.2,0.0,60.1,23.49,7.2,18.6,22.8,25.8,69.30000000000001,7.6,53.2,1807.92,9.2
2011,Melilla,68443.0,1374489.0,20.082243618777667,12474.0,11997.0,182780.0,14320.0,18.15,0.97,0.0,61.6,22.78,11.8,27.1,18.8,27.2,81.4,10.7,52.0,1807.92,9.2
2012,Melilla,69538.0,1325903.0,19.067315712272425,13274.0,10898.0,190110.0,148470.0,18.34,6.61,4.84,56.1,22.39,4.2,8.0,4.3,12.0,60.3,5.4,55.5,1807.92,9.2
2013,Melilla,71068.0,1339497.0,18.848103225080205,12897.0,10895.0,178980.0,132880.0,18.04,11.11,1.19,56.0,26.92,8.2,16.4,17.8,33.3,60.2,10.1,45.9,1807.92,9.2
2014,Melilla,71807.0,1350573.0,18.808375228041836,12635.0,10914.0,180730.0,134220.0,19.33,1.25,3.55,54.7,32.52,9.9,12.8,16.4,24.9,57.4,10.1,46.3,1748.08,8.49
2015,Melilla,72640.0,1407605.0,19.377822136563875,13200.0,11374.0,159370.0,129290.0,17.83,7.09,1.17,57.4,28.39,9.2,16.1,13.5,29.8,69.3,7.4,43.3,1735.58,8.41
2016,Melilla,72706.0,1452752.0,19.981184496465215,11255.0,11642.0,173490.0,169990.0,17.19,6.03,1.17,56.5,33.96,10.0,18.9,12.5,24.6,59.8,8.2,47.1,1701.67,8.25
2017,Melilla,72765.0,1466610.0,20.155431869717585,12183.0,11722.0,164530.0,148430.0,15.82,2.45,0.0,55.2,30.75,8.8,21.4,9.9,28.3,54.4,7.1,30.6,1706.75,8.33
2018,Melilla,72883.0,1510904.0,20.73054072966261,11381.0,12141.0,1950.0,16840.0,15.83,3.53,0.0,63.7,27.59,9.2,17.9,9.3,22.4,51.900000000000006,9.1,40.3,1749.25,8.23
2019,Melilla,73221.0,1560101.0,21.30674260116633,14144.0,12703.0,180030.0,170630.0,14.64,1.23,1.16,64.7,25.76,12.8,20.7,11.1,37.0,44.7,13.9,43.7,1757.17,8.42
2020,Melilla,73713.0,1452031.0,19.69843853865668,12989.0,12706.0,182140.0,149220.0,11.41,1.34,0.0,51.6,26.95,13.2,28.7,19.8,38.2,50.5,15.0,52.3,1760.92,8.5
2021,Melilla,73650.0,1534391.0,20.833550577053632,12479.0,13835.0,182590.0,156040.0,11.17,4.96,0.0,48.0,23.62,15.4,15.8,26.2,32.2,55.6,14.1,48.5,1815.42,8.92
2022,Melilla,73495.0,1657781.0,22.556377984896933,13159.0,14720.0,198490.0,162530.0,10.49,4.7,2.34,50.8,25.4,13.2,18.6,23.1,34.5,47.5,12.4,45.3,1888.0,9.1
2009,Murcia,1210529.0,28076274.0,23.193392310304006,9751.0,12096.0,141390.0,124890.0,12.82,8.73,1.03,39.7,12.44,12.8,7.1,18.1,28.0,74.0,5.7,47.2,1443.42,6.02
2010,Murcia,1220114.0,28372216.0,23.253741863465216,9859.0,12309.0,135740.0,122430.0,12.38,7.3,1.03,39.7,20.32,11.5,4.0,20.4,29.6,78.0,5.8,51.9,1387.0,5.68
2011,Murcia,1229206.0,27698320.0,22.533505368506173,9451.0,12250.0,130220.0,112830.0,11.91,6.38,0.68,39.6,22.87,8.9,9.1,11.1,31.3,70.6,4.7,49.0,1374.0,5.55
2012,Murcia,1236056.0,26950848.0,21.803905324677846,8933.0,11628.0,128910.0,116430.0,11.42,8.76,0.68,39.3,24.99,11.7,5.9,14.1,30.5,78.3,5.1,57.1,1243.25,5.53
2013,Murcia,1241027.0,27046880.0,21.793949688443522,9094.0,11671.0,124870.0,111480.0,11.02,7.62,0.34,37.4,27.61,10.0,6.3,24.5,36.5,78.7,6.5,52.5,1119.25,5.15
2014,Murcia,1250949.0,27239109.0,21.774755805392545,8876.0,11583.0,117150.0,100960.0,11.15,7.44,0.55,36.0,28.98,12.5,3.4,19.5,46.4,77.5,6.1,53.5,1063.83,4.96
2015,Murcia,1258933.0,29168718.0,23.169396623966485,8281.0,12100.0,119930.0,103320.0,10.91,7.74,0.82,36.4,26.59,12.8,4.7,17.1,44.7,78.1,6.6,48.9,1042.92,4.88
2016,Murcia,1263592.0,30009138.0,23.74907248542251,8326.0,12365.0,126350.0,11270.0,10.57,7.38,0.82,34.9,24.62,9.7,4.1,14.9,40.1,71.8,5.9,48.0,1008.92,5.06
2017,Murcia,1272008.0,31192490.0,24.52224357079515,8595.0,12653.0,133240.0,119990.0,10.24,8.42,0.95,35.7,19.78,8.2,3.5,16.9,35.5,69.7,5.6,42.0,1012.58,5.29
2018,Murcia,1276077.0,31715345.0,24.853786252710456,8958.0,13183.0,140410.0,12630.0,9.92,6.63,0.74,37.4,18.03,8.7,7.9,14.9,33.0,70.7,5.9,48.5,1029.33,5.74
2019,Murcia,1282659.0,33000651.0,25.72831204552418,9331.0,13849.0,136370.0,122810.0,9.54,8.7,0.87,38.1,16.76,5.7,4.3,11.6,35.1,68.1,4.7,47.2,1036.17,6.07
2020,Murcia,1289034.0,30440306.0,23.61482009008296,9373.0,13512.0,149210.0,130460.0,9.08,8.35,0.66,33.7,14.68,4.9,10.3,15.5,26.5,56.8,4.7,43.1,1049.67,6.38
2021,Murcia,1296162.0,33603543.0,25.925419044841618,10423.0,14302.0,149880.0,139940.0,9.11,8.31,0.92,38.1,16.18,5.9,4.1,21.3,28.7,56.7,5.3,43.0,1056.42,6.62
2022,Murcia,1305113.0,37408748.0,28.66322532991396,10558.0,15138.0,161280.0,1500.0,8.69,8.12,0.51,44.6,14.71,8.0,4.5,12.3,26.3,58.3,5.2,44.7,1079.75,7.04
2009,Navarra,559951.0,18001876.0,32.14902018212308,13903.0,17950.0,213180.0,189220.0,10.86,8.67,0.47,30.7,6.83,6.8,1.3,7.6,7.3,39.8,4.7,20.2,1692.75,6.57
2010,Navarra,565555.0,18089072.0,31.984638098858643,14963.0,18108.0,213930.0,199250.0,10.67,9.29,0.47,30.7,10.84,9.1,0.9,9.9,10.6,35.3,5.3,18.5,1692.75,6.57
2011,Navarra,570451.0,18058363.0,31.656291250256377,15205.0,18195.0,214040.0,185410.0,10.57,6.21,0.78,32.5,11.9,2.5,3.4,7.6,9.5,37.7,4.7,23.0,1735.42,7.05
2012,Navarra,574943.0,17377685.0,30.225057092616137,15018.0,17032.0,209180.0,186410.0,10.53,7.97,0.31,33.8,12.99,3.2,1.8,5.5,13.5,43.4,4.8,23.9,1732.5,7.26
2013,Navarra,576585.0,17346722.0,30.08528144159144,14781.0,17086.0,201910.0,180570.0,9.54,7.25,0.63,37.5,16.16,4.2,2.8,3.3,12.6,47.3,4.5,24.0,1560.08,6.5
2014,Navarra,581240.0,17642027.0,30.35239660037162,14356.0,17070.0,19550.0,181210.0,9.72,7.97,0.16,41.7,17.93,6.4,2.7,6.3,16.2,36.9,4.9,19.3,1431.83,6.32
2015,Navarra,584583.0,18334417.0,31.363240121590945,13904.0,17663.0,197150.0,18710.0,9.44,7.42,0.47,37.5,15.71,5.7,1.1,5.9,12.0,47.2,4.8,23.0,1414.17,6.34
2016,Navarra,585821.0,18911331.0,32.2817567140816,13978.0,17962.0,196970.0,183480.0,9.24,8.14,0.16,40.2,13.83,7.6,1.9,5.5,12.1,46.1,4.6,24.1,1393.42,6.58
2017,Navarra,588581.0,19698794.0,33.46828049155511,14282.0,18344.0,200220.0,19040.0,8.96,7.57,1.09,38.6,12.48,4.6,0.0,2.2,10.6,24.9,4.4,18.6,1385.5,6.88
2018,Navarra,588772.0,20235995.0,34.369832464859066,14434.0,18419.0,200940.0,192610.0,8.35,7.36,1.54,42.0,10.24,4.3,2.0,10.3,10.2,39.5,4.1,21.6,1388.08,7.42
2019,Navarra,589995.0,21070268.0,35.712621293400794,14363.0,18968.0,206970.0,198370.0,8.23,5.75,0.76,44.5,10.02,4.9,2.7,6.9,8.0,32.2,3.9,25.3,1419.33,8.0
2020,Navarra,590531.0,19160726.0,32.44660483530924,14632.0,18009.0,223910.0,211740.0,7.66,6.85,0.15,35.7,8.24,7.1,6.6,11.4,10.2,32.4,4.5,20.1,1424.42,8.48
2021,Navarra,590096.0,20821017.0,35.28411817738131,15970.0,18933.0,227860.0,209550.0,7.78,6.5,0.3,40.4,10.06,6.1,5.1,10.3,10.1,34.8,5.1,20.9,1448.67,8.87
2022,Navarra,590642.0,23208786.0,39.29416804087755,16093.0,20127.0,235780.0,212120.0,7.12,8.7,0.44,50.0,10.71,8.0,6.7,10.8,10.9,39.5,5.4,21.5,1521.67,9.22
2009,País Vasco,2039310.0,63601702.0,31.187853734841685,14539.0,19012.0,221380.0,19940.0,9.6,7.52,0.46,41.3,6.63,5.5,2.4,3.8,9.8,44.8,5.2,22.2,3139.67,10.35
2010,País Vasco,2038970.0,64424609.0,31.596643893730658,15435.0,19103.0,214840.0,19730.0,9.71,7.27,0.46,41.3,11.34,8.1,3.0,4.9,11.7,41.6,6.1,19.1,3139.67,10.35
2011,País Vasco,2039350.0,63907269.0,31.33707750018388,14906.0,18988.0,208340.0,186650.0,9.69,5.5,0.55,41.0,10.69,9.4,3.0,5.2,15.6,40.8,6.3,19.7,3202.58,11.04
2012,País Vasco,2041199.0,62342907.0,30.542297443806312,14428.0,18094.0,204740.0,186830.0,9.42,7.45,0.55,42.5,12.35,7.9,0.8,3.9,15.9,39.4,6.5,18.2,3021.92,10.84
2013,País Vasco,2042805.0,61496663.0,30.10402999796848,14324.0,18200.0,209550.0,192520.0,8.81,7.68,0.6,41.7,15.6,6.4,1.4,5.5,13.2,50.3,5.2,24.3,2815.08,9.95
2014,País Vasco,2047669.0,62636949.0,30.589391644841037,14932.0,18147.0,209570.0,194690.0,8.95,7.82,0.46,40.6,16.58,7.4,1.0,5.7,13.5,51.0,5.2,20.1,2651.0,9.78
2015,País Vasco,2051441.0,65073341.0,31.720795772337592,14925.0,18596.0,202640.0,186140.0,8.71,8.09,0.51,39.4,16.33,7.5,0.4,6.1,13.8,43.3,5.4,19.1,2543.42,9.75
2016,País Vasco,2050109.0,67114993.0,32.73728031046154,14318.0,19039.0,210580.0,192750.0,8.43,7.35,0.28,38.0,14.78,7.1,1.6,6.5,12.9,38.7,5.0,17.8,2499.08,9.94
2017,País Vasco,2051122.0,69585295.0,33.9254783479481,14897.0,19715.0,211980.0,192290.0,7.88,7.68,0.23,38.4,12.59,8.3,0.7,5.9,12.0,33.2,5.1,17.1,2477.33,10.48
2018,País Vasco,2047569.0,71915111.0,35.12219173077928,14888.0,20184.0,21760.0,195860.0,7.41,7.63,0.27,41.2,11.31,7.4,3.1,5.4,10.2,35.2,5.1,20.7,2489.75,11.07
2019,País Vasco,2043968.0,73999981.0,36.204080005166425,15294.0,20960.0,22480.0,21020.0,7.08,6.82,0.45,42.9,9.97,6.3,2.4,8.5,11.9,38.8,5.3,23.6,2536.92,11.36
2020,País Vasco,2040252.0,66672598.0,32.67860930904614,15910.0,20279.0,231740.0,217010.0,6.73,5.95,0.59,34.9,9.15,7.2,5.1,8.2,10.2,31.7,4.8,19.0,2597.42,11.94
2021,País Vasco,2030979.0,72513029.0,35.70348536346265,16438.0,21127.0,226580.0,211140.0,6.56,7.36,0.5,38.5,9.54,6.6,3.7,8.8,12.6,31.8,5.0,18.4,2660.92,12.07
2022,País Vasco,2023557.0,80260696.0,39.66317528984852,16255.0,22773.0,238860.0,216380.0,6.18,6.19,0.36,46.0,10.29,7.3,3.0,7.2,12.2,31.6,5.0,18.7,2720.83,12.22
