Comunidad Autónoma,año,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad
Extremadura,2016,17616,11857.0,1054071.0,3.6,2.6,6.1,127750.0,106730.0,42.2,65.4,5.4,43.4,24.3
Galicia,2016,21594,13984.0,2630559.0,6.6,0.9,6.4,154280.0,13250.0,26.1,56.0,5.5,28.9,27.4
Madrid,2016,33350,19064.0,5674369.0,15.6,6.2,8.7,187090.0,164640.0,22.4,58.5,7.2,33.6,58.1
Murcia,2016,20402,12365.0,1263592.0,9.7,4.1,14.9,126350.0,11270.0,40.1,71.8,5.9,48.0,34.9
Navarra,2016,29556,17962.0,585821.0,7.6,1.9,5.5,196970.0,183480.0,12.1,46.1,4.6,24.1,40.2
País Vasco,2016,30833,19039.0,2050109.0,7.1,1.6,6.5,210580.0,192750.0,12.9,38.7,5.0,17.8,38.0
Rioja,2016,25713,15471.0,280192.0,6.6,0.6,12.5,169330.0,153460.0,16.6,39.1,4.6,22.1,25.5
Ceuta,2016,18155,12738.0,79086.0,9.5,24.3,21.5,148580.0,123580.0,39.4,64.7,6.3,63.7,54.7
Melilla,2016,16979,11642.0,72706.0,10.0,18.9,12.5,173490.0,169990.0,24.6,59.8,8.2,47.1,56.5
Andalucía,2017,18691,12177.0,7773545.0,8.2,6.6,11.2,137090.0,114530.0,38.1,68.69999999999999,6.9,48.3,39.9
Aragón,2017,27357,16492.0,1175513.0,4.1,1.9,3.7,177560.0,158390.0,16.1,31.7,4.6,18.5,28.8
Asturias,2017,21897,15673.0,996076.0,7.4,1.7,5.8,175470.0,156980.0,16.6,45.9,5.5,34.5,24.9
Balears,2017,28001,16344.0,929066.0,16.8,11.7,15.4,183120.0,1400.0,26.1,51.8,8.2,36.8,63.6
Canarias,2017,20296,13322.0,1861363.0,12.1,6.8,21.1,131610.0,116150.0,34.3,61.5,7.0,51.0,43.1
Cantabria,2017,22922,15602.0,550838.0,6.8,2.7,2.3,161990.0,139990.0,21.1,52.800000000000004,4.9,12.5,30.0
Castilla Y León,2017,23076,15126.0,2303523.0,5.6,1.9,2.4,1630.0,150080.0,22.3,39.0,4.7,23.9,29.7
Castilla - La Mancha,2017,20043,13114.0,1870311.0,10.1,4.0,4.9,136040.0,115960.0,34.3,55.9,6.3,38.6,31.5
Cataluña,2017,29770,17529.0,6514468.0,10.7,6.8,8.3,189570.0,168280.0,18.6,49.6,5.7,31.9,56.3
Comunitat Valenciana,2017,21996,13857.0,4299129.0,11.2,4.7,14.6,143650.0,130940.0,31.9,63.400000000000006,6.6,49.4,46.0
Extremadura,2017,18761,12399.0,1048303.0,5.8,2.8,11.3,120060.0,96440.0,46.8,61.900000000000006,5.9,50.8,24.6
Galicia,2017,22433,14438.0,2621150.0,6.3,2.5,4.5,15880.0,147560.0,22.5,42.9,5.8,21.6,27.4
Madrid,2017,34592,19532.0,5711913.0,15.1,6.5,6.9,193140.0,172940.0,20.3,47.1,7.7,34.0,58.8
Murcia,2017,21128,12653.0,1272008.0,8.2,3.5,16.9,133240.0,119990.0,35.5,69.7,5.6,42.0,35.7
Navarra,2017,30631,18344.0,588581.0,4.6,0.0,2.2,200220.0,19040.0,10.6,24.9,4.4,18.6,38.6
