año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2019,Melilla,1560101.0,86.3,1.23,14.64,25.76,14144.0,21.5,,,,,64.7,1.16,,18073.0,12703.0,73221.0,12.8,20.7,11.1,180030.0,170630.0,37.0,44.7,13.9,43.7,64.7,1757.17,8.42
2020,Melilla,1452031.0,86.6,1.34,11.41,26.95,12989.0,35.9,,,,,51.6,0.0,,16776.0,12706.0,73713.0,13.2,28.7,19.8,182140.0,149220.0,38.2,50.5,15.0,52.3,51.6,1760.92,8.5
2021,Melilla,1534391.0,85.8,4.96,11.17,23.62,12479.0,38.9,,,,,48.0,0.0,71.4,17891.0,13835.0,73650.0,15.4,15.8,26.2,182590.0,156040.0,32.2,55.6,14.1,48.5,48.0,1815.42,8.92
2022,Melilla,1657781.0,85.2,4.7,10.49,25.4,13159.0,31.5,,,,,50.8,2.34,77.2,19455.0,14720.0,73495.0,13.2,18.6,23.1,198490.0,162530.0,34.5,47.5,12.4,45.3,50.8,1888.0,9.1
2009,Murcia,28076274.0,1448.5,8.73,12.82,12.44,9751.0,,23.65,0.62,19.08,82.45,,,,19383.0,12096.0,1210529.0,12.8,7.1,18.1,141390.0,124890.0,28.0,74.0,5.7,47.2,,1443.42,6.02
2010,Murcia,28372216.0,1456.5,7.3,12.38,20.32,9859.0,,19.68,1.67,20.12,58.54,39.7,1.03,,19479.0,12309.0,1220114.0,11.5,4.0,20.4,135740.0,122430.0,29.6,78.0,5.8,51.9,39.7,1387.0,5.68
2011,Murcia,27698320.0,1461.1,6.38,11.91,22.87,9451.0,,,0.5,,,39.6,0.68,,18957.0,12250.0,1229206.0,8.9,9.1,11.1,130220.0,112830.0,31.3,70.6,4.7,49.0,39.6,1374.0,5.55
2012,Murcia,26950848.0,1461.2,8.76,11.42,24.99,8933.0,,,0.37,,,39.3,0.68,,18444.0,11628.0,1236056.0,11.7,5.9,14.1,128910.0,116430.0,30.5,78.3,5.1,57.1,39.3,1243.25,5.53
2013,Murcia,27046880.0,1461.9,7.62,11.02,27.61,9094.0,,,1.6,,,37.4,0.34,67.3,18502.0,11671.0,1241027.0,10.0,6.3,24.5,124870.0,111480.0,36.5,78.7,6.5,52.5,37.4,1119.25,5.15
2014,Murcia,27239109.0,1464.0,7.44,11.15,28.98,8876.0,,,,,,36.0,0.55,,18606.0,11583.0,1250949.0,12.5,3.4,19.5,117150.0,100960.0,46.4,77.5,6.1,53.5,36.0,1063.83,4.96
2015,Murcia,29168718.0,1465.7,7.74,10.91,26.59,8281.0,41.8,,,,,36.4,0.82,,19901.0,12100.0,1258933.0,12.8,4.7,17.1,119930.0,103320.0,44.7,78.1,6.6,48.9,36.4,1042.92,4.88
2016,Murcia,30009138.0,1470.9,7.38,10.57,24.62,8326.0,38.0,,,,,34.9,0.82,,20402.0,12365.0,1263592.0,9.7,4.1,14.9,126350.0,11270.0,40.1,71.8,5.9,48.0,34.9,1008.92,5.06
2017,Murcia,31192490.0,1476.3,8.42,10.24,19.78,8595.0,34.5,,,,,35.7,0.95,,21128.0,12653.0,1272008.0,8.2,3.5,16.9,133240.0,119990.0,35.5,69.7,5.6,42.0,35.7,1012.58,5.29
2018,Murcia,31715345.0,1482.5,6.63,9.92,18.03,8958.0,35.1,,,,,37.4,0.74,66.9,21393.0,13183.0,1276077.0,8.7,7.9,14.9,140410.0,12630.0,33.0,70.7,5.9,48.5,37.4,1029.33,5.74
2019,Murcia,33000651.0,1499.0,8.7,9.54,16.76,9331.0,33.4,,,,,38.1,0.87,,22015.0,13849.0,1282659.0,5.7,4.3,11.6,136370.0,122810.0,35.1,68.1,4.7,47.2,38.1,1036.17,6.07
2020,Murcia,30440306.0,1513.8,8.35,9.08,14.68,9373.0,32.7,,,,,33.7,0.66,,20108.0,13512.0,1289034.0,4.9,10.3,15.5,149210.0,130460.0,26.5,56.8,4.7,43.1,33.7,1049.67,6.38
2021,Murcia,33603543.0,1521.4,8.31,9.11,16.18,10423.0,29.8,,,,,38.1,0.92,66.4,22087.0,14302.0,1296162.0,5.9,4.1,21.3,149880.0,139940.0,28.7,56.7,5.3,43.0,38.1,1056.42,6.62
2022,Murcia,37408748.0,1540.7,8.12,8.69,14.71,10558.0,32.0,,,,,44.6,0.51,70.0,24281.0,15138.0,1305113.0,8.0,4.5,12.3,161280.0,1500.0,26.3,58.3,5.2,44.7,44.6,1079.75,7.04
2009,Navarra,18001876.0,630.1,8.67,10.86,6.83,13903.0,,18.17,1.69,13.23,81.46,,,,28569.0,17950.0,559951.0,6.8,1.3,7.6,213180.0,189220.0,7.3,39.8,4.7,20.2,,,
2010,Navarra,18089072.0,635.0,9.29,10.67,10.84,14963.0,,17.64,2.47,15.08,65.69,30.7,0.47,,28487.0,18108.0,565555.0,9.1,0.9,9.9,213930.0,199250.0,10.6,35.3,5.3,18.5,30.7,1692.75,6.57
2011,Navarra,18058363.0,638.6,6.21,10.57,11.9,15205.0,,,3.05,,,32.5,0.78,,28279.0,18195.0,570451.0,2.5,3.4,7.6,214040.0,185410.0,9.5,37.7,4.7,23.0,32.5,1735.42,7.05
2012,Navarra,17377685.0,639.3,7.97,10.53,12.99,15018.0,,,2.56,,,33.8,0.31,,27184.0,17032.0,574943.0,3.2,1.8,5.5,209180.0,186410.0,13.5,43.4,4.8,23.9,33.8,1732.5,7.26
2013,Navarra,17346722.0,637.4,7.25,9.54,16.16,14781.0,,,1.4,,,37.5,0.63,75.8,27213.0,17086.0,576585.0,4.2,2.8,3.3,201910.0,180570.0,12.6,47.3,4.5,24.0,37.5,1560.08,6.5
2014,Navarra,17642027.0,636.8,7.97,9.72,17.93,14356.0,,,,,,41.7,0.16,,27704.0,17070.0,581240.0,6.4,2.7,6.3,19550.0,181210.0,16.2,36.9,4.9,19.3,41.7,1431.83,6.32
2015,Navarra,18334417.0,637.5,7.42,9.44,15.71,13904.0,13.9,,,,,37.5,0.47,,28761.0,17663.0,584583.0,5.7,1.1,5.9,197150.0,18710.0,12.0,47.2,4.8,23.0,37.5,1414.17,6.34
2016,Navarra,18911331.0,639.8,8.14,9.24,13.83,13978.0,13.7,,,,,40.2,0.16,,29556.0,17962.0,585821.0,7.6,1.9,5.5,196970.0,183480.0,12.1,46.1,4.6,24.1,40.2,1393.42,6.58
2017,Navarra,19698794.0,643.1,7.57,8.96,12.48,14282.0,12.6,,,,,38.6,1.09,,30631.0,18344.0,588581.0,4.6,0.0,2.2,200220.0,19040.0,10.6,24.9,4.4,18.6,38.6,1385.5,6.88
2018,Navarra,20235995.0,648.8,7.36,8.35,10.24,14434.0,11.9,,,,,42.0,1.54,82.0,31190.0,18419.0,588772.0,4.3,2.0,10.3,200940.0,192610.0,10.2,39.5,4.1,21.6,42.0,1388.08,7.42
2019,Navarra,21070268.0,655.7,5.75,8.23,10.02,14363.0,11.2,,,,,44.5,0.76,,32136.0,18968.0,589995.0,4.9,2.7,6.9,206970.0,198370.0,8.0,32.2,3.9,25.3,44.5,1419.33,8.0
2020,Navarra,19160726.0,661.0,6.85,7.66,8.24,14632.0,10.2,,,,,35.7,0.15,,28987.0,18009.0,590531.0,7.1,6.6,11.4,223910.0,211740.0,10.2,32.4,4.5,20.1,35.7,1424.42,8.48
2021,Navarra,20821017.0,661.3,6.5,7.78,10.06,15970.0,11.0,,,,,40.4,0.3,78.6,31486.0,18933.0,590096.0,6.1,5.1,10.3,227860.0,209550.0,10.1,34.8,5.1,20.9,40.4,1448.67,8.87
2022,Navarra,23208786.0,668.3,8.7,7.12,10.71,16093.0,13.7,,,,,50.0,0.44,77.9,34726.0,20127.0,590642.0,8.0,6.7,10.8,235780.0,212120.0,10.9,39.5,5.4,21.5,50.0,1521.67,9.22
2009,País Vasco,63601702.0,2177.0,7.52,9.6,6.63,14539.0,,16.09,3.24,13.51,82.96,,,,29215.0,19012.0,2039310.0,5.5,2.4,3.8,221380.0,19940.0,9.8,44.8,5.2,22.2,,,
2010,País Vasco,64424609.0,2181.1,7.27,9.71,11.34,15435.0,,15.61,3.08,11.79,62.78,41.3,0.46,,29538.0,19103.0,2038970.0,8.1,3.0,4.9,214840.0,19730.0,11.7,41.6,6.1,19.1,41.3,3139.67,10.35
2011,País Vasco,63907269.0,2184.0,5.5,9.69,10.69,14906.0,,,1.99,,,41.0,0.55,,29261.0,18988.0,2039350.0,9.4,3.0,5.2,208340.0,186650.0,15.6,40.8,6.3,19.7,41.0,3202.58,11.04
2012,País Vasco,62342907.0,2180.7,7.45,9.42,12.35,14428.0,,,2.42,,,42.5,0.55,,28589.0,18094.0,2041199.0,7.9,0.8,3.9,204740.0,186830.0,15.9,39.4,6.5,18.2,42.5,3021.92,10.84
2013,País Vasco,61496663.0,2174.8,7.68,8.81,15.6,14324.0,,,1.72,,,41.7,0.6,68.7,28277.0,18200.0,2042805.0,6.4,1.4,5.5,209550.0,192520.0,13.2,50.3,5.2,24.3,41.7,2815.08,9.95
2014,País Vasco,62636949.0,2171.7,7.82,8.95,16.58,14932.0,,,,,,40.6,0.46,,28843.0,18147.0,2047669.0,7.4,1.0,5.7,209570.0,194690.0,13.5,51.0,5.2,20.1,40.6,2651.0,9.78
2015,País Vasco,65073341.0,2171.9,8.09,8.71,16.33,14925.0,15.9,,,,,39.4,0.51,,29962.0,18596.0,2051441.0,7.5,0.4,6.1,202640.0,186140.0,13.8,43.3,5.4,19.1,39.4,2543.42,9.75
2016,País Vasco,67114993.0,2176.8,7.35,8.43,14.78,14318.0,17.4,,,,,38.0,0.28,,30833.0,19039.0,2050109.0,7.1,1.6,6.5,210580.0,192750.0,12.9,38.7,5.0,17.8,38.0,2499.08,9.94
2017,País Vasco,69585295.0,2182.0,7.68,7.88,12.59,14897.0,16.0,,,,,38.4,0.23,,31891.0,19715.0,2051122.0,8.3,0.7,5.9,211980.0,192290.0,12.0,33.2,5.1,17.1,38.4,2477.33,10.48
2018,País Vasco,71915111.0,2190.2,7.63,7.41,11.31,14888.0,15.0,,,,,41.2,0.27,77.0,32835.0,20184.0,2047569.0,7.4,3.1,5.4,21760.0,195860.0,10.2,35.2,5.1,20.7,41.2,2489.75,11.07
2019,País Vasco,73999981.0,2203.0,6.82,7.08,9.97,15294.0,11.9,,,,,42.9,0.45,,33590.0,20960.0,2043968.0,6.3,2.4,8.5,22480.0,21020.0,11.9,38.8,5.3,23.6,42.9,2536.92,11.36
2020,País Vasco,66672598.0,2213.9,5.95,6.73,9.15,15910.0,14.3,,,,,34.9,0.59,,30115.0,20279.0,2040252.0,7.2,5.1,8.2,231740.0,217010.0,10.2,31.7,4.8,19.0,34.9,2597.42,11.94
2021,País Vasco,72513029.0,2204.2,7.36,6.56,9.54,16438.0,13.1,,,,,38.5,0.5,73.4,32898.0,21127.0,2030979.0,6.6,3.7,8.8,226580.0,211140.0,12.6,31.8,5.0,18.4,38.5,2660.92,12.07
2022,País Vasco,80260696.0,2211.1,6.19,6.18,10.29,16255.0,15.1,,,,,46.0,0.36,76.1,36300.0,22773.0,2023557.0,7.3,3.0,7.2,238860.0,216380.0,12.2,31.6,5.0,18.7,46.0,2720.83,12.22
2009,Rioja,7911873.0,319.8,8.97,10.41,7.9,11577.0,,18.74,2.61,15.81,80.72,,,,24741.0,15113.0,274771.0,7.5,5.9,11.7,164470.0,141320.0,16.6,55.5,5.1,28.3,,,
2010,Rioja,8008552.0,319.9,8.43,10.55,12.64,12213.0,,16.61,2.15,14.08,68.21,29.5,0.63,,25035.0,15032.0,275735.0,8.1,7.1,12.3,157690.0,147930.0,21.2,52.3,5.5,29.3,29.5,1557.5,6.39
2011,Rioja,7945371.0,321.1,5.8,9.88,14.15,11530.0,,,0.82,,,31.1,0.62,,24748.0,15180.0,276667.0,12.4,5.1,10.7,155170.0,145050.0,22.7,49.8,6.2,27.1,31.1,1562.58,5.96
2012,Rioja,7669045.0,320.1,7.24,9.96,17.21,11495.0,,,0.77,,,31.7,0.31,,23961.0,14374.0,277236.0,11.9,2.4,10.8,161020.0,145720.0,21.0,59.5,5.9,30.0,31.7,1461.0,5.95
2013,Rioja,7581142.0,317.2,9.3,9.16,20.58,12003.0,,,3.56,,,30.1,0.0,66.8,23898.0,14452.0,277623.0,14.5,0.5,11.0,153210.0,143440.0,24.0,59.4,6.8,32.8,30.1,1286.92,5.42
2014,Rioja,7738447.0,314.7,7.46,9.02,20.04,11514.0,,,,,,28.4,0.95,,24586.0,14571.0,278984.0,9.0,1.4,11.4,16090.0,146980.0,25.1,53.5,6.4,30.5,28.4,1172.17,5.08
2015,Rioja,8033065.0,313.9,9.59,8.73,18.16,11750.0,18.6,,,,,27.2,0.32,,25594.0,15122.0,280237.0,8.2,1.0,16.2,162950.0,145070.0,23.3,49.0,5.5,25.4,27.2,1139.17,5.08
2016,Rioja,8074094.0,314.0,7.23,8.51,15.39,11638.0,19.2,,,,,25.5,0.0,,25713.0,15471.0,280192.0,6.6,0.6,12.5,169330.0,153460.0,16.6,39.1,4.6,22.1,25.5,1105.42,5.15
2017,Rioja,8351707.0,314.2,8.16,8.21,13.55,12126.0,15.3,,,,,25.1,0.0,,26585.0,15914.0,280335.0,4.0,0.1,4.4,178010.0,157920.0,15.9,29.8,4.5,23.5,25.1,1103.5,5.4
2018,Rioja,8649852.0,314.9,7.62,7.45,12.0,12561.0,13.1,,,,,26.3,0.32,78.5,27470.0,16401.0,280018.0,9.4,0.0,7.9,17490.0,15410.0,19.1,37.8,5.7,30.3,26.3,1180.17,5.89
2019,Rioja,8889997.0,317.0,6.11,7.66,10.4,12589.0,17.1,,,,,27.6,0.0,,28040.0,16765.0,279568.0,5.8,2.1,4.9,186610.0,165770.0,17.5,25.4,5.0,19.0,27.6,1205.67,6.21
2020,Rioja,8186915.0,319.1,8.75,7.33,9.96,13371.0,15.0,,,,,24.5,1.57,,25654.0,16489.0,279704.0,4.6,2.6,8.2,196980.0,175890.0,16.9,27.7,4.7,24.5,24.5,1215.08,6.58
2021,Rioja,8735750.0,319.2,8.27,6.94,10.8,14303.0,18.2,,,,,28.6,0.94,74.0,27365.0,16951.0,278905.0,8.2,3.7,8.0,187580.0,17420.0,16.8,32.3,5.1,22.5,28.6,1238.25,6.83
2022,Rioja,9766689.0,320.9,6.87,6.83,11.61,13704.0,20.0,,,,,36.6,0.31,75.8,30431.0,18089.0,278137.0,6.9,5.0,7.8,198190.0,184140.0,16.6,36.0,4.8,19.6,36.6,1263.5,7.17
