año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2010,Canarias,39738165.0,2053.1,8.6,8.92,26.01,9333.0,,16.08,0.87,20.64,63.47,45.8,0.83,,19355.0,12576.0,1811140.0,12.4,11.6,15.1,139050.0,127370.0,29.7,75.2,6.7,55.5,45.8,1650.42,7.47
2011,Canarias,39611706.0,2074.0,7.87,8.4,28.6,9608.0,,,0.3,,,47.7,0.82,,19099.0,12679.0,1819760.0,9.9,11.0,12.0,131270.0,112840.0,34.0,69.0,6.8,61.2,47.7,1620.0,7.14
2012,Canarias,38239602.0,2087.6,6.88,8.22,29.28,8823.0,,,0.56,,,46.9,0.72,,18317.0,11983.0,1807503.0,12.8,13.7,10.2,124770.0,107520.0,38.8,78.0,7.1,62.7,46.9,1493.58,6.76
2013,Canarias,38066975.0,2096.2,8.97,7.52,32.58,8806.0,,,0.86,,,44.5,0.62,61.8,18160.0,11960.0,1817445.0,11.2,11.5,20.0,126880.0,117230.0,35.8,74.5,7.0,65.6,44.5,1358.67,6.38
2014,Canarias,38312937.0,2097.3,8.97,7.74,33.73,8906.0,,,,,,43.0,0.57,,18268.0,11915.0,1837677.0,10.6,12.1,16.8,125050.0,111570.0,38.4,81.0,7.7,66.9,43.0,1291.83,6.43
2015,Canarias,39636569.0,2099.3,8.33,7.59,32.41,8578.0,41.5,,,,,42.7,0.95,,18881.0,12458.0,1847199.0,13.0,14.9,18.9,129320.0,118390.0,37.8,83.6,10.1,67.0,42.7,1318.58,6.68
2016,Canarias,40979670.0,2106.9,8.79,7.54,29.11,8921.0,38.0,,,,,42.1,1.0,,19450.0,12830.0,1852510.0,11.1,14.7,16.7,129930.0,11010.0,43.1,76.3,8.8,61.3,42.1,1356.5,7.1
2017,Canarias,43035839.0,2120.4,8.18,7.29,26.06,9080.0,46.4,,,,,43.1,0.94,,20296.0,13322.0,1861363.0,12.1,6.8,21.1,131610.0,116150.0,34.3,61.5,7.0,51.0,43.1,1448.08,8.02
2018,Canarias,44609266.0,2139.2,9.04,6.75,23.46,9257.0,39.7,,,,,42.4,1.17,78.9,20853.0,13519.0,1867494.0,12.5,6.2,11.9,135460.0,120470.0,35.7,64.0,7.0,54.7,42.4,1652.92,9.21
2019,Canarias,45766832.0,2163.0,8.44,6.37,20.07,9134.0,40.0,,,,,44.2,0.92,,21159.0,13987.0,1876355.0,11.6,12.8,9.9,142470.0,128190.0,33.4,53.7,5.3,50.2,44.2,1817.08,9.82
2020,Canarias,37587399.0,2180.4,8.56,5.87,20.49,9765.0,37.7,,,,,38.4,0.55,,17239.0,13030.0,1883410.0,13.3,14.3,23.0,14990.0,135880.0,30.9,66.69999999999999,6.9,63.1,38.4,1859.5,9.91
2021,Canarias,41407275.0,2176.9,8.85,5.67,22.62,10252.0,39.8,,,,,37.3,0.73,69.7,19021.0,13986.0,1885118.0,15.0,17.6,26.2,152940.0,137630.0,30.2,59.2,8.2,49.8,37.3,1908.08,9.88
2022,Canarias,48865336.0,2199.3,9.75,5.56,23.46,10589.0,36.1,,,,,43.4,0.58,66.6,22218.0,14702.0,1889212.0,14.8,16.2,20.0,159010.0,140820.0,29.5,60.7,6.3,57.2,43.4,2026.75,10.87
