,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
88,Julio 2018,2.512 €/m2,"+ 1,8 %","+ 5,0 %","+ 15,3 %",Madrid
89,Junio 2018,2.466 €/m2,"+ 1,5 %","+ 4,7 %","+ 14,4 %",Madrid
90,Mayo 2018,2.429 €/m2,"+ 1,6 %","+ 5,1 %","+ 13,3 %",Madrid
91,Abril 2018,2.392 €/m2,"+ 1,6 %","+ 5,5 %","+ 11,5 %",Madrid
92,Marzo 2018,2.355 €/m2,"+ 1,9 %","+ 4,9 %","+ 9,4 %",Madrid
93,Febrero 2018,2.311 €/m2,"+ 2,0 %","+ 3,9 %","+ 7,4 %",Madrid
94,Enero 2018,2.266 €/m2,"+ 1,0 %","+ 3,1 %","+ 5,3 %",Madrid
95,Diciembre 2017,2.245 €/m2,"+ 0,9 %","+ 3,0 %","+ 3,9 %",Madrid
96,Noviembre 2017,2.224 €/m2,"+ 1,2 %","+ 2,2 %","+ 3,4 %",Madrid
97,Octubre 2017,2.198 €/m2,"+ 0,9 %","+ 0,9 %","+ 2,8 %",Madrid
98,Septiembre 2017,2.179 €/m2,"+ 0,1 %","+ 1,1 %","+ 2,1 %",Madrid
99,Agosto 2017,2.177 €/m2,"- 0,1 %","+ 1,5 %","+ 1,4 %",Madrid
100,Julio 2017,2.180 €/m2,"+ 1,1 %","+ 1,6 %","+ 1,6 %",Madrid
101,Junio 2017,2.155 €/m2,"+ 0,5 %","+ 0,1 %","+ 0,3 %",Madrid
102,Mayo 2017,2.145 €/m2,"0,0 %","- 0,3 %","+ 0,1 %",Madrid
103,Abril 2017,2.146 €/m2,"- 0,4 %","- 0,3 %","+ 0,2 %",Madrid
104,Marzo 2017,2.154 €/m2,"+ 0,1 %","- 0,3 %","+ 0,2 %",Madrid
105,Febrero 2017,2.152 €/m2,"0,0 %","0,0 %","+ 0,3 %",Madrid
106,Enero 2017,2.152 €/m2,"- 0,3 %","+ 0,6 %","+ 0,3 %",Madrid
107,Diciembre 2016,2.160 €/m2,"+ 0,3 %","+ 1,2 %","+ 0,3 %",Madrid
