,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
86,Septiembre 2018,1.365 €/m2,"+ 0,5 %","+ 1,0 %","+ 0,3 %",Asturias
87,Agosto 2018,1.358 €/m2,"0,0 %","+ 0,6 %","0,0 %",Asturias
88,Julio 2018,1.359 €/m2,"+ 0,6 %","+ 0,1 %","0,0 %",Asturias
89,Junio 2018,1.351 €/m2,"+ 0,1 %","- 1,0 %","- 0,9 %",Asturias
90,Mayo 2018,1.350 €/m2,"- 0,5 %","- 0,9 %","- 0,8 %",Asturias
91,Abril 2018,1.357 €/m2,"- 0,5 %","- 0,5 %","0,0 %",Asturias
92,Marzo 2018,1.364 €/m2,"+ 0,2 %","+ 0,3 %","+ 0,1 %",Asturias
93,Febrero 2018,1.362 €/m2,"- 0,2 %","+ 0,5 %","- 0,3 %",Asturias
94,Enero 2018,1.364 €/m2,"+ 0,3 %","+ 0,5 %","- 0,4 %",Asturias
95,Diciembre 2017,1.360 €/m2,"+ 0,4 %","0,0 %","- 0,9 %",Asturias
96,Noviembre 2017,1.355 €/m2,"- 0,2 %","- 0,3 %","- 1,0 %",Asturias
97,Octubre 2017,1.357 €/m2,"- 0,2 %","- 0,2 %","- 0,6 %",Asturias
98,Septiembre 2017,1.360 €/m2,"+ 0,1 %","- 0,2 %","- 0,1 %",Asturias
99,Agosto 2017,1.358 €/m2,"- 0,1 %","- 0,2 %","0,0 %",Asturias
100,Julio 2017,1.360 €/m2,"- 0,3 %","+ 0,1 %","- 0,4 %",Asturias
101,Junio 2017,1.363 €/m2,"+ 0,1 %","0,0 %","- 1,4 %",Asturias
102,Mayo 2017,1.361 €/m2,"+ 0,3 %","- 0,4 %","- 1,6 %",Asturias
103,Abril 2017,1.358 €/m2,"- 0,4 %","- 0,9 %","- 1,8 %",Asturias
104,Marzo 2017,1.364 €/m2,"- 0,2 %","- 0,7 %","- 1,3 %",Asturias
105,Febrero 2017,1.366 €/m2,"- 0,2 %","- 0,1 %","- 1,2 %",Asturias
106,Enero 2017,1.369 €/m2,"- 0,3 %","+ 0,3 %","- 1,5 %",Asturias
