,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
138,Mayo 2014,1.812 €/m2,"+ 0,3 %","- 2,4 %","- 4,9 %",Cataluña
139,Abril 2014,1.806 €/m2,"- 1,4 %","- 2,6 %","- 6,1 %",Cataluña
140,Marzo 2014,1.831 €/m2,"- 1,4 %","- 1,6 %","- 5,8 %",Cataluña
141,Febrero 2014,1.857 €/m2,"+ 0,1 %","- 1,3 %","- 4,4 %",Cataluña
142,Enero 2014,1.855 €/m2,"- 0,4 %","- 1,6 %","- 4,1 %",Cataluña
143,Diciembre 2013,1.862 €/m2,"- 1,1 %","- 2,4 %","- 4,8 %",Cataluña
144,Noviembre 2013,1.882 €/m2,"- 0,2 %","- 1,7 %","- 5,1 %",Cataluña
145,Octubre 2013,1.886 €/m2,"- 1,1 %","- 1,3 %","- 5,7 %",Cataluña
146,Septiembre 2013,1.907 €/m2,"- 0,5 %","+ 0,3 %","- 4,8 %",Cataluña
147,Agosto 2013,1.915 €/m2,"+ 0,2 %","+ 0,5 %","- 6,9 %",Cataluña
148,Julio 2013,1.910 €/m2,"+ 0,5 %","- 0,7 %","- 8,7 %",Cataluña
149,Junio 2013,1.902 €/m2,"- 0,2 %","- 2,2 %","- 10,1 %",Cataluña
150,Mayo 2013,1.905 €/m2,"- 1,0 %","- 1,9 %","- 10,4 %",Cataluña
151,Abril 2013,1.923 €/m2,"- 1,1 %","- 0,5 %","- 10,8 %",Cataluña
152,Marzo 2013,1.944 €/m2,"+ 0,1 %","- 0,6 %","- 10,0 %",Cataluña
153,Febrero 2013,1.942 €/m2,"+ 0,4 %","- 2,1 %","- 11,2 %",Cataluña
154,Enero 2013,1.933 €/m2,"- 1,1 %","- 3,3 %","- 12,9 %",Cataluña
155,Diciembre 2012,1.955 €/m2,"- 1,4 %","- 2,4 %","- 12,8 %",Cataluña
156,Noviembre 2012,1.983 €/m2,"- 0,9 %","- 3,7 %","- 12,5 %",Cataluña
157,Octubre 2012,2.000 €/m2,"- 0,2 %","- 4,4 %","- 12,2 %",Cataluña
158,Septiembre 2012,2.003 €/m2,"- 2,7 %","- 5,3 %","- 12,4 %",Cataluña
159,Agosto 2012,2.058 €/m2,"- 1,6 %","- 3,2 %","- 11,7 %",Cataluña
160,Julio 2012,2.092 €/m2,"- 1,1 %","- 2,9 %","- 10,7 %",Cataluña
161,Junio 2012,2.116 €/m2,"- 0,5 %","- 2,1 %","- 9,8 %",Cataluña
162,Mayo 2012,2.126 €/m2,"- 1,4 %","- 2,7 %","- 9,4 %",Cataluña
163,Abril 2012,2.156 €/m2,"- 0,2 %","- 2,9 %","- 7,8 %",Cataluña
164,Marzo 2012,2.161 €/m2,"- 1,1 %","- 3,6 %","- 7,8 %",Cataluña
165,Febrero 2012,2.186 €/m2,"- 1,5 %","- 3,5 %","- 6,0 %",Cataluña
166,Enero 2012,2.219 €/m2,"- 1,0 %","- 2,6 %","- 5,3 %",Cataluña
167,Diciembre 2011,2.243 €/m2,"- 1,0 %","- 1,9 %","- 4,1 %",Cataluña
168,Noviembre 2011,2.266 €/m2,"- 0,5 %","- 2,8 %","- 3,2 %",Cataluña
169,Octubre 2011,2.278 €/m2,"- 0,3 %","- 2,8 %","- 1,6 %",Cataluña
170,Septiembre 2011,2.285 €/m2,"- 2,0 %","- 2,6 %","- 0,6 %",Cataluña
171,Agosto 2011,2.331 €/m2,"- 0,5 %","- 0,6 %","+ 0,7 %",Cataluña
172,Julio 2011,2.343 €/m2,"- 0,1 %","+ 0,2 %","+ 0,5 %",Cataluña
173,Junio 2011,2.345 €/m2,"0,0 %","+ 0,1 %","+ 1,2 %",Cataluña
174,Mayo 2011,2.346 €/m2,"+ 0,3 %","+ 0,9 %","+ 0,9 %",Cataluña
175,Abril 2011,2.339 €/m2,"- 0,2 %","- 0,2 %","+ 1,2 %",Cataluña
176,Marzo 2011,2.343 €/m2,"+ 0,8 %","+ 0,2 %","+ 1,4 %",Cataluña
177,Febrero 2011,2.326 €/m2,"- 0,8 %","- 0,7 %","+ 1,8 %",Cataluña
178,Enero 2011,2.344 €/m2,"+ 0,2 %","+ 1,2 %","+ 2,6 %",Cataluña
179,Diciembre 2010,2.340 €/m2,"- 0,1 %","+ 1,8 %","+ 2,7 %",Cataluña
180,Noviembre 2010,2.341 €/m2,"+ 1,1 %","+ 1,2 %","+ 2,4 %",Cataluña
181,Octubre 2010,2.316 €/m2,"+ 0,8 %","- 0,6 %","+ 1,6 %",Cataluña
182,Septiembre 2010,2.298 €/m2,"- 0,7 %","- 0,9 %","+ 0,8 %",Cataluña
183,Agosto 2010,2.314 €/m2,"- 0,7 %","- 0,4 %","+ 0,8 %",Cataluña
184,Julio 2010,2.331 €/m2,"+ 0,5 %","+ 0,8 %","+ 0,6 %",Cataluña
185,Junio 2010,2.319 €/m2,"- 0,3 %","+ 0,4 %","- 0,4 %",Cataluña
186,Mayo 2010,2.325 €/m2,"+ 0,5 %","+ 1,8 %","- 0,7 %",Cataluña
187,Abril 2010,2.312 €/m2,"+ 0,1 %","+ 1,2 %","- 1,7 %",Cataluña
188,Marzo 2010,2.311 €/m2,"+ 1,1 %","+ 1,4 %","- 1,8 %",Cataluña
189,Febrero 2010,2.285 €/m2,"0,0 %","0,0 %","- 2,2 %",Cataluña
190,Enero 2010,2.285 €/m2,"+ 0,3 %","+ 0,3 %","- 2,6 %",Cataluña
191,Diciembre 2009,2.278 €/m2,"- 0,3 %","- 0,1 %","- 2,7 %",Cataluña
192,Noviembre 2009,2.286 €/m2,"+ 0,3 %","- 0,4 %","- 3,6 %",Cataluña
193,Octubre 2009,2.278 €/m2,"- 0,1 %","- 1,7 %","- 3,4 %",Cataluña
194,Septiembre 2009,2.281 €/m2,"- 0,7 %","- 2,1 %","- 4,7 %",Cataluña
195,Agosto 2009,2.296 €/m2,"- 0,9 %","- 2,0 %","- 5,8 %",Cataluña
196,Julio 2009,2.317 €/m2,"- 0,5 %","- 1,5 %","- 6,3 %",Cataluña
197,Junio 2009,2.329 €/m2,"- 0,6 %","- 1,0 %","- 7,5 %",Cataluña
198,Mayo 2009,2.342 €/m2,"- 0,4 %","+ 0,3 %","- 7,0 %",Cataluña
199,Abril 2009,2.352 €/m2,"0,0 %","+ 0,3 %","- 7,4 %",Cataluña
200,Marzo 2009,2.353 €/m2,"+ 0,7 %","+ 0,5 %","- 6,9 %",Cataluña
201,Febrero 2009,2.335 €/m2,"- 0,5 %","- 1,5 %","- 6,9 %",Cataluña
202,Enero 2009,2.346 €/m2,"+ 0,2 %","- 0,6 %","- 6,7 %",Cataluña
203,Diciembre 2008,2.341 €/m2,"- 1,3 %","- 2,2 %","- 7,4 %",Cataluña
204,Noviembre 2008,2.371 €/m2,"+ 0,5 %","- 2,7 %","- 8,4 %",Cataluña
205,Octubre 2008,2.360 €/m2,"- 1,4 %","- 4,6 %","- 8,2 %",Cataluña
206,Septiembre 2008,2.393 €/m2,"- 1,8 %","- 4,9 %","- 7,3 %",Cataluña
207,Agosto 2008,2.437 €/m2,"- 1,5 %","- 3,2 %","- 6,8 %",Cataluña
208,Julio 2008,2.474 €/m2,"- 1,7 %","- 2,6 %","- 7,1 %",Cataluña
209,Junio 2008,2.517 €/m2,"0,0 %","- 0,4 %","- 6,0 %",Cataluña
210,Mayo 2008,2.517 €/m2,"- 0,9 %","+ 0,3 %","- 4,5 %",Cataluña
211,Abril 2008,2.540 €/m2,"+ 0,5 %","+ 1,0 %","- 2,0 %",Cataluña
212,Marzo 2008,2.526 €/m2,"+ 0,7 %","- 0,1 %","- 1,8 %",Cataluña
213,Febrero 2008,2.509 €/m2,"- 0,2 %","- 3,1 %","- 1,3 %",Cataluña
214,Enero 2008,2.515 €/m2,"- 0,6 %","- 2,2 %","- 2,1 %",Cataluña
215,Diciembre 2007,2.529 €/m2,"- 2,3 %","- 2,0 %","- 0,9 %",Cataluña
216,Noviembre 2007,2.588 €/m2,"+ 0,7 %","- 1,0 %","+ 3,4 %",Cataluña
217,Octubre 2007,2.571 €/m2,"- 0,3 %","- 3,5 %","+ 2,1 %",Cataluña
218,Septiembre 2007,2.580 €/m2,"- 1,3 %","- 3,6 %","+ 3,0 %",Cataluña
219,Agosto 2007,2.613 €/m2,"- 1,9 %","- 0,9 %","+ 6,5 %",Cataluña
220,Julio 2007,2.664 €/m2,"- 0,5 %","+ 2,8 %","+ 10,4 %",Cataluña
221,Junio 2007,2.677 €/m2,"+ 1,5 %","+ 4,1 %","+ 10,5 %",Cataluña
222,Mayo 2007,2.637 €/m2,"+ 1,8 %","+ 3,7 %","+ 9,0 %",Cataluña
223,Abril 2007,2.590 €/m2,"+ 0,7 %","+ 0,8 %","+ 8,9 %",Cataluña
