Comunidad autónoma;Periodo;Total
11 Extremadura;2018;5,2
11 Extremadura;2017;5,8
11 Extremadura;2016;3,6
11 Extremadura;2015;5,8
11 Extremadura;2014;7,5
11 Extremadura;2013;5,4
11 Extremadura;2012;7
11 Extremadura;2011;4,6
11 Extremadura;2010;4,9
11 Extremadura;2009;3,9
11 Extremadura;2008;3,2
12 Galicia;2024;3,8
12 Galicia;2023;4,8
12 Galicia;2022;4,8
12 Galicia;2021;5,4
12 Galicia;2020;5,3
12 Galicia;2019;5,1
12 Galicia;2018;4,6
12 Galicia;2017;6,3
12 Galicia;2016;6,6
12 Galicia;2015;6,4
12 Galicia;2014;4,5
12 Galicia;2013;7
12 Galicia;2012;6,7
12 Galicia;2011;5,8
12 Galicia;2010;4,7
12 Galicia;2009;4,5
12 Galicia;2008;3,7
13 Madrid, Comunidad de;2024;11,2
13 Madrid, Comunidad de;2023;9,1
13 Madrid, Comunidad de;2022;12,2
13 Madrid, Comunidad de;2021;13,4
13 Madrid, Comunidad de;2020;10,1
13 Madrid, Comunidad de;2019;13
13 Madrid, Comunidad de;2018;13,5
13 Madrid, Comunidad de;2017;15,1
13 Madrid, Comunidad de;2016;15,6
13 Madrid, Comunidad de;2015;13,5
13 Madrid, Comunidad de;2014;14,5
13 Madrid, Comunidad de;2013;14,5
13 Madrid, Comunidad de;2012;13,4
13 Madrid, Comunidad de;2011;12,6
13 Madrid, Comunidad de;2010;13,2
13 Madrid, Comunidad de;2009;15,4
13 Madrid, Comunidad de;2008;13,9
14 Murcia, Región de;2024;6,3
14 Murcia, Región de;2023;6
14 Murcia, Región de;2022;8
14 Murcia, Región de;2021;5,9
14 Murcia, Región de;2020;4,9
14 Murcia, Región de;2019;5,7
14 Murcia, Región de;2018;8,7
14 Murcia, Región de;2017;8,2
14 Murcia, Región de;2016;9,7
14 Murcia, Región de;2015;12,8
14 Murcia, Región de;2014;12,5
14 Murcia, Región de;2013;10
14 Murcia, Región de;2012;11,7
14 Murcia, Región de;2011;8,9
14 Murcia, Región de;2010;11,5
14 Murcia, Región de;2009;12,8
14 Murcia, Región de;2008;7,9
15 Navarra, Comunidad Foral de;2024;7,3
15 Navarra, Comunidad Foral de;2023;9,1
15 Navarra, Comunidad Foral de;2022;8
15 Navarra, Comunidad Foral de;2021;6,1
15 Navarra, Comunidad Foral de;2020;7,1
15 Navarra, Comunidad Foral de;2019;4,9
15 Navarra, Comunidad Foral de;2018;4,3
15 Navarra, Comunidad Foral de;2017;4,6
15 Navarra, Comunidad Foral de;2016;7,6
15 Navarra, Comunidad Foral de;2015;5,7
15 Navarra, Comunidad Foral de;2014;6,4
15 Navarra, Comunidad Foral de;2013;4,2
15 Navarra, Comunidad Foral de;2012;3,2
15 Navarra, Comunidad Foral de;2011;2,5
15 Navarra, Comunidad Foral de;2010;9,1
15 Navarra, Comunidad Foral de;2009;6,8
15 Navarra, Comunidad Foral de;2008;8,1
16 País Vasco;2024;6,2
16 País Vasco;2023;5,9
16 País Vasco;2022;7,3
16 País Vasco;2021;6,6
16 País Vasco;2020;7,2
16 País Vasco;2019;6,3
16 País Vasco;2018;7,4
16 País Vasco;2017;8,3
16 País Vasco;2016;7,1
16 País Vasco;2015;7,5
16 País Vasco;2014;7,4
16 País Vasco;2013;6,4
16 País Vasco;2012;7,9
16 País Vasco;2011;9,4
16 País Vasco;2010;8,1
16 País Vasco;2009;5,5
16 País Vasco;2008;4,2
17 Rioja, La;2024;4
17 Rioja, La;2023;5,5
17 Rioja, La;2022;6,9
17 Rioja, La;2021;8,2
17 Rioja, La;2020;4,6
17 Rioja, La;2019;5,8
17 Rioja, La;2018;9,4
17 Rioja, La;2017;4
17 Rioja, La;2016;6,6
17 Rioja, La;2015;8,2
17 Rioja, La;2014;9
17 Rioja, La;2013;14,5
17 Rioja, La;2012;11,9
17 Rioja, La;2011;12,4
17 Rioja, La;2010;8,1
17 Rioja, La;2009;7,5
17 Rioja, La;2008;12
18 Ceuta;2024;6,3
18 Ceuta;2023;5,5
18 Ceuta;2022;9,5
18 Ceuta;2021;14,1
18 Ceuta;2020;12
18 Ceuta;2019;12,4
18 Ceuta;2018;7,8
18 Ceuta;2017;7,3
18 Ceuta;2016;9,5
18 Ceuta;2015;7,7
18 Ceuta;2014;5,2
18 Ceuta;2013;6,6
18 Ceuta;2012;9,2
18 Ceuta;2011;5,8
18 Ceuta;2010;5
18 Ceuta;2009;9,8
18 Ceuta;2008;4,8
19 Melilla;2024;12,1
19 Melilla;2023;7,2
19 Melilla;2022;13,2
19 Melilla;2021;15,4
19 Melilla;2020;13,2
19 Melilla;2019;12,8
19 Melilla;2018;9,2
19 Melilla;2017;8,8
19 Melilla;2016;10
19 Melilla;2015;9,2
19 Melilla;2014;9,9
19 Melilla;2013;8,2
19 Melilla;2012;4,2
19 Melilla;2011;11,8
19 Melilla;2010;7,2
19 Melilla;2009;7,4
19 Melilla;2008;1,2
