Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta media por unidad de consumo;12 Galicia;2011;15.450
Renta media por unidad de consumo;12 Galicia;2010;15.764
Renta media por unidad de consumo;12 Galicia;2009;15.113
Renta media por unidad de consumo;12 Galicia;2008;14.374
Renta media por unidad de consumo;13 Madrid, Comunidad de;2024;25.712
Renta media por unidad de consumo;13 Madrid, Comunidad de;2023;24.991
Renta media por unidad de consumo;13 Madrid, Comunidad de;2022;23.338
Renta media por unidad de consumo;13 Madrid, Comunidad de;2021;21.990
Renta media por unidad de consumo;13 Madrid, Comunidad de;2020;21.429
Renta media por unidad de consumo;13 Madrid, Comunidad de;2019;21.030
Renta media por unidad de consumo;13 Madrid, Comunidad de;2018;19.648
Renta media por unidad de consumo;13 Madrid, Comunidad de;2017;19.314
Renta media por unidad de consumo;13 Madrid, Comunidad de;2016;18.709
Renta media por unidad de consumo;13 Madrid, Comunidad de;2015;18.593
Renta media por unidad de consumo;13 Madrid, Comunidad de;2014;18.789
Renta media por unidad de consumo;13 Madrid, Comunidad de;2013;19.124
Renta media por unidad de consumo;13 Madrid, Comunidad de;2012;19.902
Renta media por unidad de consumo;13 Madrid, Comunidad de;2011;19.984
Renta media por unidad de consumo;13 Madrid, Comunidad de;2010;20.128
Renta media por unidad de consumo;13 Madrid, Comunidad de;2009;20.597
Renta media por unidad de consumo;13 Madrid, Comunidad de;2008;18.941
Renta media por unidad de consumo;14 Murcia, Región de;2024;18.111
Renta media por unidad de consumo;14 Murcia, Región de;2023;17.069
Renta media por unidad de consumo;14 Murcia, Región de;2022;16.128
Renta media por unidad de consumo;14 Murcia, Región de;2021;14.988
Renta media por unidad de consumo;14 Murcia, Región de;2020;14.921
Renta media por unidad de consumo;14 Murcia, Región de;2019;13.637
Renta media por unidad de consumo;14 Murcia, Región de;2018;14.041
Renta media por unidad de consumo;14 Murcia, Región de;2017;13.324
Renta media por unidad de consumo;14 Murcia, Región de;2016;12.635
Renta media por unidad de consumo;14 Murcia, Región de;2015;11.993
Renta media por unidad de consumo;14 Murcia, Región de;2014;11.715
Renta media por unidad de consumo;14 Murcia, Región de;2013;12.487
Renta media por unidad de consumo;14 Murcia, Región de;2012;12.891
Renta media por unidad de consumo;14 Murcia, Región de;2011;13.022
Renta media por unidad de consumo;14 Murcia, Región de;2010;13.574
Renta media por unidad de consumo;14 Murcia, Región de;2009;14.139
Renta media por unidad de consumo;14 Murcia, Región de;2008;14.147
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2024;25.285
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2023;24.495
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2022;23.578
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2021;22.786
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2020;22.391
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2019;20.697
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2018;20.094
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2017;20.022
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2016;19.697
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2015;19.715
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2014;19.550
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2013;20.191
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2012;20.918
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2011;21.404
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2010;21.393
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2009;21.318
Renta media por unidad de consumo;15 Navarra, Comunidad Foral de;2008;19.907
Renta media por unidad de consumo;16 País Vasco;2024;27.537
Renta media por unidad de consumo;16 País Vasco;2023;26.298
Renta media por unidad de consumo;16 País Vasco;2022;23.886
Renta media por unidad de consumo;16 País Vasco;2021;22.658
