Comunidad autónoma;Periodo;Total
10 Comunitat Valenciana;2022;5,2
10 Comunitat Valenciana;2021;6,2
10 Comunitat Valenciana;2020;6,6
10 Comunitat Valenciana;2019;5,6
10 Comunitat Valenciana;2018;5,6
10 Comunitat Valenciana;2017;6,6
10 Comunitat Valenciana;2016;6
10 Comunitat Valenciana;2015;6,4
10 Comunitat Valenciana;2014;5,8
10 Comunitat Valenciana;2013;6,5
10 Comunitat Valenciana;2012;6,7
10 Comunitat Valenciana;2011;6
10 Comunitat Valenciana;2010;6,2
10 Comunitat Valenciana;2009;5,3
10 Comunitat Valenciana;2008;5,7
11 Extremadura;2024;4,6
11 Extremadura;2023;4,6
11 Extremadura;2022;4,6
11 Extremadura;2021;5,1
11 Extremadura;2020;4,5
11 Extremadura;2019;4,8
11 Extremadura;2018;4,8
11 Extremadura;2017;5,9
11 Extremadura;2016;5,4
11 Extremadura;2015;5,8
11 Extremadura;2014;5,7
11 Extremadura;2013;5,7
11 Extremadura;2012;6,3
11 Extremadura;2011;5,5
11 Extremadura;2010;5,6
11 Extremadura;2009;5,6
11 Extremadura;2008;5
12 Galicia;2024;4,2
12 Galicia;2023;4,4
12 Galicia;2022;4,5
12 Galicia;2021;5,1
12 Galicia;2020;5,3
12 Galicia;2019;5,2
12 Galicia;2018;5,4
12 Galicia;2017;5,8
12 Galicia;2016;5,5
12 Galicia;2015;5,5
12 Galicia;2014;5
12 Galicia;2013;4,8
12 Galicia;2012;5,4
12 Galicia;2011;5
12 Galicia;2010;5
12 Galicia;2009;4,6
12 Galicia;2008;4,6
13 Madrid, Comunidad de;2024;5,5
13 Madrid, Comunidad de;2023;5,3
13 Madrid, Comunidad de;2022;5,7
13 Madrid, Comunidad de;2021;6,3
13 Madrid, Comunidad de;2020;5,8
13 Madrid, Comunidad de;2019;6,5
13 Madrid, Comunidad de;2018;6,3
13 Madrid, Comunidad de;2017;7,7
13 Madrid, Comunidad de;2016;7,2
13 Madrid, Comunidad de;2015;6,9
13 Madrid, Comunidad de;2014;6,5
13 Madrid, Comunidad de;2013;6,1
13 Madrid, Comunidad de;2012;6,5
13 Madrid, Comunidad de;2011;6,1
13 Madrid, Comunidad de;2010;5,9
13 Madrid, Comunidad de;2009;6,3
13 Madrid, Comunidad de;2008;5,6
14 Murcia, Región de;2024;5,1
14 Murcia, Región de;2023;4,5
14 Murcia, Región de;2022;5,2
14 Murcia, Región de;2021;5,3
14 Murcia, Región de;2020;4,7
14 Murcia, Región de;2019;4,7
14 Murcia, Región de;2018;5,9
14 Murcia, Región de;2017;5,6
14 Murcia, Región de;2016;5,9
14 Murcia, Región de;2015;6,6
14 Murcia, Región de;2014;6,1
14 Murcia, Región de;2013;6,5
14 Murcia, Región de;2012;5,1
14 Murcia, Región de;2011;4,7
14 Murcia, Región de;2010;5,8
14 Murcia, Región de;2009;5,7
14 Murcia, Región de;2008;5,1
15 Navarra, Comunidad Foral de;2024;5,5
15 Navarra, Comunidad Foral de;2023;5,5
15 Navarra, Comunidad Foral de;2022;5,4
15 Navarra, Comunidad Foral de;2021;5,1
15 Navarra, Comunidad Foral de;2020;4,5
15 Navarra, Comunidad Foral de;2019;3,9
15 Navarra, Comunidad Foral de;2018;4,1
15 Navarra, Comunidad Foral de;2017;4,4
15 Navarra, Comunidad Foral de;2016;4,6
15 Navarra, Comunidad Foral de;2015;4,8
15 Navarra, Comunidad Foral de;2014;4,9
15 Navarra, Comunidad Foral de;2013;4,5
15 Navarra, Comunidad Foral de;2012;4,8
15 Navarra, Comunidad Foral de;2011;4,7
15 Navarra, Comunidad Foral de;2010;5,3
15 Navarra, Comunidad Foral de;2009;4,7
15 Navarra, Comunidad Foral de;2008;4,2
16 País Vasco;2024;4,7
16 País Vasco;2023;5
16 País Vasco;2022;5
16 País Vasco;2021;5
16 País Vasco;2020;4,8
16 País Vasco;2019;5,3
16 País Vasco;2018;5,1
16 País Vasco;2017;5,1
16 País Vasco;2016;5
16 País Vasco;2015;5,4
16 País Vasco;2014;5,2
16 País Vasco;2013;5,2
16 País Vasco;2012;6,5
16 País Vasco;2011;6,3
16 País Vasco;2010;6,1
16 País Vasco;2009;5,2
16 País Vasco;2008;4,8
17 Rioja, La;2024;4,8
17 Rioja, La;2023;4,6
17 Rioja, La;2022;4,8
17 Rioja, La;2021;5,1
17 Rioja, La;2020;4,7
17 Rioja, La;2019;5
17 Rioja, La;2018;5,7
17 Rioja, La;2017;4,5
17 Rioja, La;2016;4,6
17 Rioja, La;2015;5,5
17 Rioja, La;2014;6,4
17 Rioja, La;2013;6,8
17 Rioja, La;2012;5,9
17 Rioja, La;2011;6,2
17 Rioja, La;2010;5,5
17 Rioja, La;2009;5,1
17 Rioja, La;2008;4,3
18 Ceuta;2024;9,4
18 Ceuta;2023;9,6
18 Ceuta;2022;11
18 Ceuta;2021;9,5
18 Ceuta;2020;10,7
18 Ceuta;2019;11,5
18 Ceuta;2018;10,3
18 Ceuta;2017;11,5
18 Ceuta;2016;6,3
18 Ceuta;2015;7,1
18 Ceuta;2014;9,2
18 Ceuta;2013;10,9
18 Ceuta;2012;10,8
18 Ceuta;2011;8,1
18 Ceuta;2010;8,3
18 Ceuta;2009;15
18 Ceuta;2008;10,9
19 Melilla;2024;10,6
19 Melilla;2023;11,5
19 Melilla;2022;12,4
19 Melilla;2021;14,1
19 Melilla;2020;15
19 Melilla;2019;13,9
19 Melilla;2018;9,1
19 Melilla;2017;7,1
19 Melilla;2016;8,2
19 Melilla;2015;7,4
19 Melilla;2014;10,1
19 Melilla;2013;10,1
19 Melilla;2012;5,4
19 Melilla;2011;10,7
19 Melilla;2010;7,6
19 Melilla;2009;9,9
19 Melilla;2008;6,4
