Comunidades y Ciudades Autónomas,año,01 Alimentos y bebidas no alcohólicas,02 Bebidas alcohólicas y tabaco,03 Vestido y calzado,"04 Vivienda, agua, electricidad, gas y otros combustibles","05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",06 Sanidad,07 Transporte,08 Comunicaciones,09 Ocio y cultura,10 Enseñanza,11 Restaurantes y hoteles,12 Otros bienes y servicios,Índice general
Aragón,2008,86.19358333333334,61.48083333333333,95.67683333333333,79.55083333333333,94.62,89.823,84.64608333333334,116.51474999999999,107.78891666666668,76.56725,85.139,79.26591666666667,87.04849999999999
Aragón,2009,84.791,66.94716666666666,94.21758333333332,80.39441666666666,96.1055,89.70091666666667,79.88925,115.77691666666668,107.17241666666666,79.96575,86.24991666666666,81.31666666666666,86.70100000000001
Aragón,2010,83.994,74.84125,94.07758333333334,84.18166666666666,96.44,89.18816666666667,85.08433333333333,114.93116666666667,105.3825,82.07033333333334,87.10541666666667,83.35416666666667,88.25725
Aragón,2011,85.76425,82.87358333333333,94.40908333333334,90.79566666666666,97.67141666666667,88.80283333333334,91.5125,114.01433333333334,105.20333333333333,84.39033333333333,87.94349999999999,85.79033333333332,91.05233333333332
Aragón,2012,88.14608333333332,87.97149999999999,94.66624999999999,95.22283333333333,98.72241666666667,90.92158333333333,95.42933333333333,110.128,104.90075,87.35558333333334,88.89858333333332,88.16875,93.20366666666666
Aragón,2013,90.95191666666666,93.16575,94.74624999999999,95.55149999999999,99.30066666666666,96.50166666666667,95.58941666666668,105.42675000000001,105.50033333333333,90.61383333333333,89.67183333333332,90.553,94.42491666666666
Aragón,2014,90.4535,94.28041666666667,94.88741666666665,96.47691666666667,99.09683333333334,96.4445,94.73908333333333,99.01016666666668,103.70491666666668,91.931,89.76425,91.26041666666667,94.13841666666667
Aragón,2015,91.178,95.50108333333333,95.22075000000001,93.47366666666666,99.19375000000001,96.50516666666665,90.62841666666667,97.23958333333333,102.76675,93.37741666666666,90.45966666666668,92.62408333333333,93.45908333333334
Aragón,2016,92.45683333333334,95.887,95.84708333333333,88.59825000000001,99.55566666666665,97.1665,89.55516666666666,99.73916666666666,101.129,94.33325,91.34133333333334,94.08999999999999,93.22358333333334
Aragón,2017,93.3625,97.26333333333334,96.38041666666668,92.17025000000001,98.52141666666667,97.36500000000001,93.00041666666665,101.06491666666666,102.17758333333335,95.00308333333334,93.22691666666667,94.54016666666666,94.90983333333334
Aragón,2018,94.6565,98.88233333333334,97.21916666666668,95.03633333333333,98.71316666666667,97.81400000000001,95.99425000000001,103.40625,101.80683333333333,95.79083333333334,95.13425000000001,95.24358333333333,96.49374999999999
Aragón,2019,95.69083333333333,99.31741666666666,98.00158333333333,93.59358333333334,98.49541666666666,98.53375,97.53991666666667,104.27041666666666,100.70433333333334,97.0575,97.66325,96.28466666666667,97.15591666666667
Aragón,2020,97.67333333333333,99.88883333333332,98.92375,89.36591666666668,98.5575,99.74291666666666,93.29033333333332,103.06041666666665,100.14783333333334,98.45549999999999,98.961,98.454,96.68258333333334
Aragón,2021,100.0,100.0,100.00008333333334,100.00008333333334,99.99991666666666,100.0,100.00016666666666,100.0,99.99991666666666,100.0,99.99991666666666,99.99983333333334,99.99991666666666
Aragón,2022,112.39791666666667,103.64916666666666,103.97283333333333,117.91250000000001,106.87875000000001,101.67533333333334,112.15899999999999,98.76275,102.33116666666666,102.01425,105.51408333333335,103.82783333333333,108.97841666666666
Aragón,2023,124.73866666666667,111.0365,105.36283333333334,104.5745,111.29358333333333,104.13833333333334,111.74483333333335,101.87116666666667,106.62891666666667,104.875,111.89208333333333,108.14191666666666,112.21683333333334
Aragón,2024,129.38266666666667,115.90641666666666,106.5845,108.68166666666667,112.79416666666667,106.22258333333333,112.27974999999999,101.96925,109.24033333333334,107.64083333333333,116.99441666666667,111.24541666666666,115.37849999999999
Aragón,2025,132.4779090909091,120.49018181818182,105.43036363636362,115.88063636363636,113.55572727272728,107.82754545454546,112.61545454545454,103.68563636363636,110.12145454545454,111.12181818181817,122.38363636363637,114.50181818181818,118.44563636363637
Asturias,2002,69.272,48.909166666666664,85.755,57.844833333333334,83.61891666666666,90.72941666666667,67.12675,126.41783333333335,111.11958333333332,64.34474999999999,64.65558333333333,66.82975,72.18183333333333
Asturias,2003,71.73141666666668,50.50508333333334,89.82316666666667,59.65141666666667,85.23591666666667,92.04466666666667,68.23233333333333,123.04516666666666,111.09375,66.49258333333334,67.58891666666666,69.16508333333333,74.32483333333333
Asturias,2004,74.03283333333333,52.44258333333334,92.06133333333334,61.6685,86.04225000000001,92.61808333333333,71.658,121.663,110.16708333333332,68.784,70.38191666666667,70.86233333333332,76.49516666666666
Asturias,2005,76.15191666666666,55.35433333333333,93.19375000000001,64.92041666666667,87.85266666666666,93.80475,75.89358333333332,119.66308333333335,109.10591666666666,71.31766666666665,72.75933333333333,72.91141666666667,78.86149999999999
Asturias,2006,79.70908333333334,56.23225,94.66116666666666,68.85916666666667,89.69808333333333,94.40499999999999,78.8175,117.99833333333333,108.52425,74.51916666666666,75.28441666666667,75.36149999999999,81.47766666666666
Asturias,2007,82.33091666666667,60.0645,95.56433333333332,71.76391666666666,91.02091666666666,92.91508333333333,80.17450000000001,118.13333333333333,107.30799999999999,77.79158333333334,79.26691666666666,77.75858333333333,83.6095
Asturias,2008,87.25574999999999,62.43283333333333,96.15066666666667,77.24916666666667,93.44841666666667,93.38541666666667,84.57966666666667,118.00308333333334,106.88241666666666,80.95491666666668,83.53941666666667,80.95183333333334,87.15583333333332
Asturias,2009,85.33800000000001,68.00116666666666,94.58591666666666,77.77416666666666,95.23866666666667,93.51891666666666,79.91716666666666,117.09033333333333,106.26008333333334,84.30466666666666,85.53583333333334,82.71041666666666,86.76841666666667
Asturias,2010,84.67691666666667,75.73649999999999,94.27916666666665,81.4195,96.37258333333334,93.04783333333334,84.9875,116.15816666666667,105.06725,86.57416666666667,87.00166666666667,84.62166666666667,88.46925
Asturias,2011,87.16275,83.7385,94.726,88.31008333333334,98.17424999999999,92.02508333333333,91.81400000000001,115.20725,105.42516666666667,88.55874999999999,88.77966666666667,86.81025,91.61233333333332
Asturias,2012,88.97708333333333,88.55158333333333,95.07491666666665,93.45683333333334,98.90266666666668,94.8175,95.67416666666666,111.31925,105.53991666666667,90.7985,89.83808333333333,88.56058333333334,93.6925
Asturias,2013,91.44208333333334,94.20491666666668,95.08449999999999,94.22058333333332,99.86608333333334,100.584,96.75141666666667,106.56116666666667,107.1105,93.69875,89.89791666666667,90.27841666666666,94.97708333333333
Asturias,2014,91.10083333333334,95.25233333333334,95.21175,95.67333333333333,98.73983333333332,99.46175,95.81933333333335,100.03491666666667,105.16433333333333,95.32066666666667,90.07275,90.84966666666666,94.66583333333334
Asturias,2015,91.52683333333334,96.14291666666666,95.62683333333332,93.11341666666668,98.40441666666668,99.36691666666667,92.03783333333332,98.20366666666666,104.29450000000001,96.87175,90.92116666666668,92.27674999999999,94.05725
Asturias,2016,93.02633333333334,95.84083333333332,96.14800000000001,88.91275,98.78391666666666,100.51666666666667,90.34424999999999,100.68075,102.55933333333333,98.86783333333334,92.31758333333333,93.59541666666667,93.95516666666667
Asturias,2017,93.47016666666667,97.40425,96.47866666666665,92.38316666666667,98.62058333333333,100.31591666666667,94.13666666666667,101.88591666666666,103.18549999999999,101.01483333333333,94.01891666666667,94.81491666666666,95.62825
Asturias,2018,94.8175,99.11633333333333,97.25266666666666,94.84483333333333,98.43008333333334,99.62883333333333,97.14233333333334,103.90558333333333,103.16366666666666,101.35966666666667,95.50824999999999,96.13675,97.09608333333334
Asturias,2019,95.78508333333333,99.50433333333332,98.15825,93.29483333333333,98.80075,100.14766666666667,98.11749999999999,104.51350000000001,102.12975,99.52299999999998,96.74141666666667,97.91558333333334,97.55333333333334
Asturias,2020,97.91391666666668,99.87016666666666,99.04808333333334,89.435,99.3685,100.90308333333333,93.87008333333334,103.14633333333335,100.2305,98.716,98.60849999999999,99.19133333333333,97.05891666666666
