Comunidad autónoma;Nivel de dificultad;Periodo;Total
Total Nacional;Con mucha dificultad;2024;9,1
Total Nacional;Con mucha dificultad;2023;9,3
Total Nacional;Con mucha dificultad;2022;8,7
Total Nacional;Con mucha dificultad;2021;8,8
Total Nacional;Con mucha dificultad;2020;10
Total Nacional;Con mucha dificultad;2019;7,8
Total Nacional;Con mucha dificultad;2018;10,4
Total Nacional;Con mucha dificultad;2017;9,5
Total Nacional;Con mucha dificultad;2016;16,6
Total Nacional;Con mucha dificultad;2015;14,8
Total Nacional;Con mucha dificultad;2014;17,5
Total Nacional;Con mucha dificultad;2013;18,6
Total Nacional;Con mucha dificultad;2012;14,7
Total Nacional;Con mucha dificultad;2011;11,1
Total Nacional;Con mucha dificultad;2010;15,5
Total Nacional;Con mucha dificultad;2009;16,2
Total Nacional;Con mucha dificultad;2008;13,7
Total Nacional;Con mucha dificultad;2007;11,1
Total Nacional;Con mucha dificultad;2006;12,2
Total Nacional;Con mucha dificultad;2005;11,1
Total Nacional;Con mucha dificultad;2004;11,8
Total Nacional;Con dificultad;2024;12,7
Total Nacional;Con dificultad;2023;13,1
Total Nacional;Con dificultad;2022;13,4
Total Nacional;Con dificultad;2021;12,8
Total Nacional;Con dificultad;2020;12,8
Total Nacional;Con dificultad;2019;14,2
Total Nacional;Con dificultad;2018;16,7
Total Nacional;Con dificultad;2017;15,6
Total Nacional;Con dificultad;2016;19
Total Nacional;Con dificultad;2015;20,4
Total Nacional;Con dificultad;2014;21,6
Total Nacional;Con dificultad;2013;20,2
Total Nacional;Con dificultad;2012;20
Total Nacional;Con dificultad;2011;17,9
Total Nacional;Con dificultad;2010;18,3
Total Nacional;Con dificultad;2009;17,8
Total Nacional;Con dificultad;2008;18,2
Total Nacional;Con dificultad;2007;16,9
Total Nacional;Con dificultad;2006;18,8
Total Nacional;Con dificultad;2005;16,6
Total Nacional;Con dificultad;2004;18
Total Nacional;Con cierta dificultad;2024;25,6
Total Nacional;Con cierta dificultad;2023;26,1
Total Nacional;Con cierta dificultad;2022;25,7
Total Nacional;Con cierta dificultad;2021;23,3
Total Nacional;Con cierta dificultad;2020;22,3
Total Nacional;Con cierta dificultad;2019;27,3
Total Nacional;Con cierta dificultad;2018;28,1
Total Nacional;Con cierta dificultad;2017;28,2
Total Nacional;Con cierta dificultad;2016;27
Total Nacional;Con cierta dificultad;2015;29,3
Total Nacional;Con cierta dificultad;2014;28,8
Total Nacional;Con cierta dificultad;2013;28,2
Total Nacional;Con cierta dificultad;2012;28,4
Total Nacional;Con cierta dificultad;2011;29,3
Total Nacional;Con cierta dificultad;2010;28
Total Nacional;Con cierta dificultad;2009;28,2
Total Nacional;Con cierta dificultad;2008;31
Total Nacional;Con cierta dificultad;2007;31,1
Total Nacional;Con cierta dificultad;2006;31,6
Total Nacional;Con cierta dificultad;2005;32,3
Total Nacional;Con cierta dificultad;2004;32
01 Andalucía;Con mucha dificultad;2024;10,9
01 Andalucía;Con mucha dificultad;2023;13,6
01 Andalucía;Con mucha dificultad;2022;11,7
01 Andalucía;Con mucha dificultad;2021;12,5
01 Andalucía;Con mucha dificultad;2020;14,8
01 Andalucía;Con mucha dificultad;2019;10,8
01 Andalucía;Con mucha dificultad;2018;17,4
01 Andalucía;Con mucha dificultad;2017;14,2
01 Andalucía;Con mucha dificultad;2016;25,3
01 Andalucía;Con mucha dificultad;2015;16,9
01 Andalucía;Con mucha dificultad;2014;25,8
01 Andalucía;Con mucha dificultad;2013;26,1
01 Andalucía;Con mucha dificultad;2012;21,8
01 Andalucía;Con mucha dificultad;2011;18,1
01 Andalucía;Con mucha dificultad;2010;23,3
01 Andalucía;Con mucha dificultad;2009;20,4
01 Andalucía;Con mucha dificultad;2008;17,2
01 Andalucía;Con mucha dificultad;2007;14,7
01 Andalucía;Con mucha dificultad;2006;18
01 Andalucía;Con mucha dificultad;2005;13,6
01 Andalucía;Con mucha dificultad;2004;17,7
01 Andalucía;Con dificultad;2024;16,5
01 Andalucía;Con dificultad;2023;16
01 Andalucía;Con dificultad;2022;18
01 Andalucía;Con dificultad;2021;15,4
01 Andalucía;Con dificultad;2020;16,4
01 Andalucía;Con dificultad;2019;17,5
01 Andalucía;Con dificultad;2018;22
01 Andalucía;Con dificultad;2017;21,7
01 Andalucía;Con dificultad;2016;26,9
01 Andalucía;Con dificultad;2015;26,2
01 Andalucía;Con dificultad;2014;27,4
01 Andalucía;Con dificultad;2013;22,1
01 Andalucía;Con dificultad;2012;22,5
01 Andalucía;Con dificultad;2011;20,4
01 Andalucía;Con dificultad;2010;22
01 Andalucía;Con dificultad;2009;21,3
01 Andalucía;Con dificultad;2008;21,2
01 Andalucía;Con dificultad;2007;19,1
01 Andalucía;Con dificultad;2006;23,8
01 Andalucía;Con dificultad;2005;17,6
01 Andalucía;Con dificultad;2004;24,4
01 Andalucía;Con cierta dificultad;2024;27,4
01 Andalucía;Con cierta dificultad;2023;27,3
01 Andalucía;Con cierta dificultad;2022;24,8
01 Andalucía;Con cierta dificultad;2021;26,9
01 Andalucía;Con cierta dificultad;2020;21,9
01 Andalucía;Con cierta dificultad;2019;32,7
01 Andalucía;Con cierta dificultad;2018;28,8
01 Andalucía;Con cierta dificultad;2017;32,8
01 Andalucía;Con cierta dificultad;2016;25,9
01 Andalucía;Con cierta dificultad;2015;33,8
01 Andalucía;Con cierta dificultad;2014;25
01 Andalucía;Con cierta dificultad;2013;27,2
01 Andalucía;Con cierta dificultad;2012;27,3
01 Andalucía;Con cierta dificultad;2011;32
01 Andalucía;Con cierta dificultad;2010;28,6
01 Andalucía;Con cierta dificultad;2009;30,1
01 Andalucía;Con cierta dificultad;2008;33,7
01 Andalucía;Con cierta dificultad;2007;34,8
01 Andalucía;Con cierta dificultad;2006;31,8
01 Andalucía;Con cierta dificultad;2005;38,8
01 Andalucía;Con cierta dificultad;2004;32,7
02 Aragón;Con mucha dificultad;2024;10,2
02 Aragón;Con mucha dificultad;2023;9,6
02 Aragón;Con mucha dificultad;2022;6,9
02 Aragón;Con mucha dificultad;2021;7,5
02 Aragón;Con mucha dificultad;2020;5,5
02 Aragón;Con mucha dificultad;2019;3,4
02 Aragón;Con mucha dificultad;2018;4,5
02 Aragón;Con mucha dificultad;2017;4
02 Aragón;Con mucha dificultad;2016;5,3
02 Aragón;Con mucha dificultad;2015;6,5
02 Aragón;Con mucha dificultad;2014;10,5
02 Aragón;Con mucha dificultad;2013;15,8
02 Aragón;Con mucha dificultad;2012;5,3
02 Aragón;Con mucha dificultad;2011;4,7
02 Aragón;Con mucha dificultad;2010;5
02 Aragón;Con mucha dificultad;2009;4,2
02 Aragón;Con mucha dificultad;2008;3,1
02 Aragón;Con mucha dificultad;2007;5,6
02 Aragón;Con mucha dificultad;2006;7,2
02 Aragón;Con mucha dificultad;2005;5,3
02 Aragón;Con mucha dificultad;2004;4,1
02 Aragón;Con dificultad;2024;9,4
02 Aragón;Con dificultad;2023;9,1
02 Aragón;Con dificultad;2022;10,6
02 Aragón;Con dificultad;2021;7,6
02 Aragón;Con dificultad;2020;7
02 Aragón;Con dificultad;2019;7,3
02 Aragón;Con dificultad;2018;11,1
02 Aragón;Con dificultad;2017;11,7
02 Aragón;Con dificultad;2016;19,3
02 Aragón;Con dificultad;2015;14,2
02 Aragón;Con dificultad;2014;15,1
02 Aragón;Con dificultad;2013;20,4
02 Aragón;Con dificultad;2012;13,9
02 Aragón;Con dificultad;2011;12,5
02 Aragón;Con dificultad;2010;12,5
02 Aragón;Con dificultad;2009;9,6
02 Aragón;Con dificultad;2008;9,7
02 Aragón;Con dificultad;2007;9,5
02 Aragón;Con dificultad;2006;10
02 Aragón;Con dificultad;2005;14,1
02 Aragón;Con dificultad;2004;11,6
02 Aragón;Con cierta dificultad;2024;21,1
02 Aragón;Con cierta dificultad;2023;24,8
02 Aragón;Con cierta dificultad;2022;21,4
02 Aragón;Con cierta dificultad;2021;19,7
02 Aragón;Con cierta dificultad;2020;15,7
02 Aragón;Con cierta dificultad;2019;26,6
02 Aragón;Con cierta dificultad;2018;28,9
02 Aragón;Con cierta dificultad;2017;16
